Title,Location,Company,Salary,Description
Maths Teacher,None,TechNiche Guru,None,"TechNiche.guru invites applications from passionate working professionals in the field of teaching, content and curriculum development, programmers, office staff, marketing staff.
All the positions require excellent communication skills in English, Hindi and the native regional language.
Teaching faculties must be well experienced in their respective subjects and should be very innovative in teaching and using technology.
Content and curriculum developers should have the requisite experience in the same field. Freelancers are also encouraged.
Job Types: Full-time, Part-time, Temporary, Commission
Salary: ₹15,000.00 - ₹150,000.00 per month
Experience:
work: 1 year (Preferred)
Teaching: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
IoT Programmer,"Chennai, Tamil Nadu",Spritle software,"₹10,000 - ₹25,000 a month","Work with leading industries and build IoT applications that will connect with AI driven apps.
Job Type: Full-time
Salary: ₹10,000.00 - ₹25,000.00 per month
Experience:
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Benefits:
Health insurance
Provident fund (PF)
Paid leaves / Leave encashment
Work from home
Flexible work hours
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
WordPress Programmer,"Jaipur, Rajasthan",Web Master Driver,None,"01 - 3+ Years Experience
If you're passionate, reliable and up for the challenge and excitement of working with us, then please get in touch with below opening positions."
SMT LINE PROGRAMMER / OPERATOR,India,Apollo Micro Systems,None,"Experience in analysing BOM and optimising assembly operations on SMT Line
Experience in programming pick and place machines
Experience in handling In Line AOI & X-Ray Inspection System;
IPC 610 Knowledge, Certified candidates will be preferred
Working in assigned shifts mandatory.
Qualification: Fresher’s, Diplomo / B.Tech (ECE/EEE), ITI – Electronics
Experience: 2+ years
Position: 25"
Mainframe CICS System Programmer,"Bengaluru, Karnataka",DXC,None,"Job Description:
1. Installation, upgrade and maintenance of CICS and related products.
2. Sound knowledge in SMPE
3. Experience in problem determination, performance tuning, setting security and web enabling CICS.
4. Set up and maintain CICS regions.
5. Technical guidance to the team.
6. Good Knowledge in Disaster Recovery
Excellent Communication skills
Strong troubleshooting
Vendor coordination & ticket coordination
Business knowledge, Application team coordination"
PLC Programmer,"Vasai, Maharashtra",grups automation,"₹2,40,000 - ₹5,00,000 a year","Job Summary
JOB OPENINGS FOR PLC PROGRAMMER male and female PLC/ HMI programming of SIEMENS automation Products, commissioning of VFD , Servo Drives , SCADA etc , completion of FAT and SAT at any part of world (for females it will be near by 50km) , Need Passport, Daily reporting on ERP , Configuration of any king of Instruments used on Equipment or Plant.
mail your resumes on hratgrupsautomation.co.in.
Contact: -
Hr Grupsautomation
Priyanka
9325151674
GRUPS AUTOMATION
SIEMENS SYSTEM HOUSE
Vasai(E),
www.grupsautomation.com
kindly forward the vacancy to the needy one
Responsibilities and Duties
JOB OPENINGS FOR PLC PROGRAMMER male and female PLC/ HMI programming of SIEMENS automation Products, commissioning of VFD , Servo Drives , SCADA etc , completion of FAT and SAT at any part of world (for females it will be near by 50km) , Need Passport, Daily reporting on ERP , Configuration of any king of Instruments used on Equipment or Plant.
mail your resumes on hratgrupsautomation.co.in.
Contact: -
Hr Grupsautomation
Priyanka
GRUPS AUTOMATION
SIEMENS SYSTEM HOUSE
Vasai(E),
Job Type: Full-time
Salary: ₹240,000.00 - ₹500,000.00 per year
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Location:
Vasai, Maharashtra (Preferred)
Benefits:
Paid leaves / Leave encashment
Company Cab / Shuttle service
Industry:
Industrial Engineering
Speak with the employer
+91 9325151674"
VMC/CNC Machine Operator cum Programmer,India,Servocontrols,None,"Experience: 2 to 5 Years
Job Profile:
Basic Knowledge of VMC Programming and setting
Knowledge of Fanuc / Simens software
Understanding of drawings
Knowledge Drills, Taps, End-mill & Reamer
Maintain records of Quality inspection"
PLC Programmer,"Chinchwad, Pune, Maharashtra",Matrix Robotics pvt ltd,"₹25,000 a month","We have urgent opening for PLC Programmer
1) Designation - PLC Programmer
2) Department - Maintenance
3) Vacancy - 3 Nos.
4) Location - Hinjewadi, Phase -2
5) Facility : - Canteen & Transport
6) Education : - Diploma / BE in Electrical Engineering
7) Job Experience : -
1) Having Experience Minimum 2 to 3 years.
2) Programming Modification
3) PLC Troubleshooting
4) PLC Hard wiring.
CTC - 25000 per Month
If intrested please Email me your resume or call on 7720046227
Shubhangi Jadhav
HR Executive,
Matrix Robotics Pvt. Ltd,
Mohan Nagar, Chinchwad, Pune.
Job Type: Full-time
Salary: ₹25,000.00 /month
Experience:
total work: 3 years (Required)
Education:
Diploma (Preferred)"
Quality Engineer- CMM Programmer (Aerospace Industry),"Bengaluru, Karnataka","FERRA AEROSPACE PVT LTD,",None,"· Assist the Quality Manager in all aspects of quality in day to day activities.
· For quality matters, coordinate with customer in the absence of quality manager.
· Involve in matters relating to AS9100 documentation and implementation.
· Coordinate with surface treatment supplier and visually inspect the parts before they are dispatched to the customer.
For special processes, act as the nodal point for getting the qualification and proper implementation of the process.
. Strong expertise in CMM Online & Offline programming.
· Prepare Q-Packs for new production as per requirement.
· Monitor the implementation of CAPA.
· Suggesting measures for improvement to Quality Manager for overall system development.
· Planning and Conduct Internal Audits
· Co-ordinate will all departments and Implement AS9100 standards
· Incorporate Customer Specific Requirements in QMS
· Ensure Customer Specific Requirements are implemented
· Data Collection and Analysis
· Planning & Monitoring of Calibration
· Co-ordinate all internal meetings and monitor Action plans
· Monitor Corrective Actions & Preventive Actions
· Monitor Quality Objectives and Functional KPIs
· Product and Process Audits
Experience:
DME with 4+ yrs. or B.E with 2+ yrs. of relevant experience from Aerospace Industry.
Expected Start Date: 10/8/2020
Job Type: Walk-In
Experience:
total work: 4 years (Preferred)
CMM Programming: 2 years (Required)
Education:
Diploma (Required)"
CNC Setter/Programmer,"Puducherry, Puducherry",Benteng ( India) Precision Technology Pvt Ltd,"₹2,50,000 - ₹3,50,000 a year","CNC Setter cum Programmer ( Star, Citizen and Stugami machines) ( First Article preparations)
Job Types: Full-time, Walk-In
Salary: ₹250,000.00 - ₹350,000.00 per year
Experience:
10 years: 4 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
VMC Programmer,"Sunkadakatte, Bengaluru, Karnataka",INDYECAST TOOLING'S PVT LTD,"₹25,000 - ₹35,000 a month","Job Summary
Knowledge in VMC Programming minimum 3- 4 years experience
Basically Our company Manufactured By PDC die & Injection Mouldings dies.
Location -Sunkadakatte.
Responsibilities and Duties
Should work independently start from programming till the component is completed.
Should have adequate knowledge in using Instruments like Vernier caliper,Micrometer,Profile Projector.
Should plan for fixtures required for new parts and able to reduce the existing process time .
Experience in manual programming is an added advantage.
*
Key Skills
Should have adequate knowledge in softwares like 3D Modelling,AUTOCADD, should have in depth knowledge & experience of tooling selection & fixture developments.
Required Experience and Qualifications
Knowledge in VMC Programming minimum 3- 4 years experience.
Must have knowledge of Unigraphics NX software.
Job Type: Full-time
Salary: ₹25,000.00 - ₹35,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Benefits:
Health insurance
Provident fund (PF)
Shift allowance
Industry:
Production & Manufacturing
Speak with the employer
+91 9663623009"
CNC LATHE Programmer,"Vasai, Maharashtra",hyposeal,"₹15,000 - ₹25,000 a month","NEED A CNN PROGRAMMER WITH OPERATING ,SHOULD HAVE EXPERIENCED OF ABOVE 5 YEAR.
Job Type: Full-time
Salary: ₹15,000.00 to ₹25,000.00 /month
Experience:
work: 5 years (Preferred)
total work: 5 years (Preferred)
CNC Programming: 5 years (Preferred)
Education:
Higher Secondary(12th Pass) (Preferred)
Work Remotely:
Temporarily due to COVID-19"
CMM Operator Cum Programmer,Maharashtra,Press Room Automation And Feed Fixtures (I),None,"Job Purpose:

Coordinate measuring machine (CMM) programmers create inspection programs for coordinate measuring machines, devices that measures objects' physical characteristics such as dimensions and other geometrical qualities. The machine is used during the manufacturing and assembly process, specifically during the automated production process. The CMM programmer’s responsibility is to ensure the machine is properly working through programming scripts and tests.

A high school diploma or equivalent is generally the minimum educational requirement for this position. Relevant certifications may be needed or preferred. Computer programming skills are not a requisite for the job; rather, testing and calibration of the machine is completed with already built software solutions. A CMM programmer must know how to use these programs, such as Hexagon PCDMIS Software and SolidWorks. A working knowledge of statistics and data analysis are useful in this position, as this job requires the programmer to analyze testing data to ensure the machine if functioning properly.

CMM programmers' work is completed in an office setting, though sometimes the programmer must be on-site to inspect the machine. The programmer's hours may vary depending on the industry and when the company uses the machine. If the machine is utilized 24 hours a day, the programmer may be assigned the “swing shift” some days and regular shifts on others. Usually, entry-level programmers are assigned the swing shift.
Coordinate Measuring Machine (CMM) Operator and Programmer Tasks
Determine program requirements based on design and engineering requirements.
Ensure that precision machinery is in working condition and properly calibrated.
Operate precision machinery as needed.
Write or edit programs for precision machinery."
CNC LATHE PROGRAMMER,"Vasai, Maharashtra",BHANSALI PRECISION COMPONENTS,"₹18,000 - ₹25,000 a month","CNC LATHE PROGRAMMER WITH MIN.4 YRS EXPERIENCE.
Job Type: Full-time
Salary: ₹18,000.00 - ₹25,000.00 per month
Experience:
work: 4 years (Preferred)
total work: 6 years (Preferred)
CNC Programming: 4 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
Sheet Metal Laser Cutting Machine Programmer / Designer,"Coimbatore, Tamil Nadu",Gulfunioninteriors,None,"Wanted candidates for Sheet metal design engineer/programmer.
Candidates should have good design knowledge .
Experience; 2- 5 yrs
Location: Coimbatore
Job Type: Full-time
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Sheet Metal: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)"
cnc operator and programmer,"Kalkaji Devi, Delhi",star metalforming inc,"₹15,000 - ₹20,000 a month","we r a marketing co dealing with railwaysdefence in supply of cnc press brakes,shearings,laser etc
we would like an experienced candidate to handle these mcs
Job Types: Full-time, Contract, Volunteer
Salary: ₹15,000.00 - ₹20,000.00 per month
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
CNC Programming: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
PLC Programmer,"Pune, Maharashtra",SYNERGYTECH AUTOMATION,None,"Work Location-Pune
Schedule: Full-time
Job Posting Date:30-November-2019

Responsibilities
All type of PLC programming,Work on SPM,Material Handling Project, knowledge of Servo Drive & its Programming.
•Key Skill:
B.E. in E & TC/Electrical/Electronics,Course of PLC programming work Experience in Automation (1-2) years.

Apply(Email- hr@synergytechs.com)"
VMC & CNC programmer,"Sriperumbudur, Tamil Nadu",shreejaani enterprises,"₹15,000 a month","skill in solidworks,autocad,mastercam and VMC programming
Job Types: Full-time, Walk-In
Salary: ₹15,000.00 per month
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Diploma (Preferred)
Work Remotely:
No"
CNC MILLING PROGRAMMER,"Kukatpally, Hyderabad, Telangana",Uma Machine Tools,None,"Require CNC Milling Programmer with at least 2 years of experience in 2D & 3D programming.
Should stay with company for at least 3 years min.
In case of resigning for the job, he should inform at least 2 months prior to resigning.
Job Type: Full-time
Experience:
total work: 2 years (Preferred)
CNC Programming: 2 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Benefits:
Shift allowance
Industry:
Mechanical Engineering
Work Remotely:
No"
Require PLC Programmer Only From Machine Mfg Industry.,"Loni, Uttar Pradesh",Active Mgmt.Consultancy,"₹4,80,000 - ₹6,00,000 a year","We require experienced PLC Programmer only from machine manufacturing industry.
This position is belong to a reputed machine manufacturing company as a SPM/Conveyor etc.
Kindly contact to us @ 8859666393.
Job Type: Full-time
Pay: ₹480,000.00 - ₹600,000.00 per year
Experience:
Plc Programming (SPM): 7 years (Required)
Education:
Bachelor's (Preferred)
Language:
English (Required)
Required travel:
75% (Required)
Benefits:
Health insurance
Provident fund (PF)
Paid leaves / Leave encashment
Travel allowance
Industry:
Production & Manufacturing
Work Remotely:
Yes"
Programmer,Kerala,Xtend Technologies,None,"Job Profile: Primary responsibilities for this position would be the Software Development of Xtend products.

Requirements: Fresher/Experienced candidates having knowledge and development experience in C, C++, VB is preferred. Experience in VB/C++/Linux based project is an added advantage.
Preferred experience: 0 - 2 years, Qualification: Graduation, Number of vacancies: 5"
CNC Programmer-Bommasandra,"Bengaluru, Karnataka",Futures and Careers,None,"Job Description

A leading manufacturing industry requires CNC programmer to its turning Center- in Bommasandra-Bangalore, If Interested please contact 8971827745
or mail kalavathi.nagaraj@
futuresandcareers.com
Perks and Benefits

Salary:
Not Disclosed by Recruiter
Industry:
Industrial Products / Heavy Machinery
Functional Area:
Production, Manufacturing, Maintenance
Role Category:
Production/Manufacturing/Maintenance
Role:
Workman/Foreman/Technician
Keyskills
CNC Programming
Turning center
master cam
Desired Candidate Profile
Please refer to the Job description above
Education-
UG:
Diploma - Mechanical, B.Tech/B.E. - Mechanical
Company Profile
FUTURES AND CAREERS
FUTURES AND CAREERS is a company that has a definite purpose. We offer Recruitment and Training Services to Companies and Educational Institutions. Success and longevity is directly linked to our Clients’ happiness along with our service delivery. Having been market experts in the areas that we recruit and train, we build long-term futuristic relationships with Employers, Institutions and Candidates in order to seal Win-Win relationships!"
HTML Programmer,"Bengaluru, Karnataka",GP Strategies Corporation,None,"Expert Knowledge in HTML5, CSS3, JavaScript, JQuery & Bootstrap.
Expert knowledge of developing custom E-Learning mobile compatible responsive HTML5 based content, with interactivities & media elements including audio & video.
Expert knowledge of developing courseware Scorm & AICC standard content & delivery mechanisms.
Testing of courseware for LMS interoperability.
Working as part of a team with project managers, graphic designers & instructional designers to meet delivery dates.
Must be able to communicate effectively with clients, senior management.
Must also be able to document work undertaken on all projects.
Good knowledge with tools such a Photoshop, illustrator. (Non -mandatory)."
Programmer cum Operator - VMC / CNC,"Ahmedabad, Gujarat",Nirmal Poly Plast Pvt. Ltd.,"₹4,20,000 - ₹4,80,000 a year","- >Programming and operating of CNC Milling Machines
Machine – BFW make EXTRON 1270
Control system – Mitsuibishi M80.
CAD / CAM software – CAMWorks.
Type of work – Manufacturing and repair of plastic injection mould parts
Job Type: Full-time
Salar"
HMC CNC VMC PROGRAMMER,"Faridabad, Haryana",Divya Placement,"₹15,000 - ₹20,000 a month","hi We are Looing For HMC/VMC/CNC Programmer and Operator,
Location: Based at Faridabad.
Expectation: Producing accurate products as per schedule given with zero
rejection. Productivity is a major prerequisite. Leading own team effectively.
Cost effectiveness is an important factor.
Education: Min. Mechanical Engg Diploma/ I.T.I
Experience:
Min. 5 years in programming on machines having various controls like Fanuc,
Seimens, Mitsubishi etc. Must be able to understand drawing thoroughly and
convert to a correct in final product. Knowledge of selection of suitable tools
and manufacturing of related fixtures / Jigs are must.
Salary:-
15 to 20K P/M
Job Code: 1211
Gender: Male
Experience: 5 Year
Education: Mechanical Engg Diploma/ I.T.I
Salary: 20000
Location: FARIDABAD
Contact Person Name: MR. BRIJESH KANDPAL
Contact Person Mobile: 9873749599
Contact Person Email: info@divyaplacement.com"
"C, C++ Programmer","Pashan, Pune, Maharashtra",Epitome TRC,None,"Job Summary :

Looking for a C, C++ programmer / developer who will be responsible for building applications that may range from desktop applications to native mobile applications and embedded systems. Your primary responsibility will be to design and develop these applications, and to coordinate with the rest of the team working on different layers of the infrastructure.
Desired Candidate Profile :
Job Type : Full Time
Job Location : PAN India
Designation : C, C++ Programmer
Experience : 3-4 Years of Experience
Educational Qualification : B.Tech, B.E., MCA, M.Sc (CS/ IT)
Salary Offered : As per Industry standards
Roles and Responsibilities :
Design, build, and maintain efficient, reusable, and reliable C++ code
Implement performance and quality modules
Identify bottlenecks and bugs, and devise solutions to these problems
Help maintain code quality, organization, and automation
Skills Required :
Strong proficiency in C++, with fair knowledge of the language specification
WIN 32 API"
