Title,Location,Company,Salary,Description
Windows Server Administrator,"Jaipur, Rajasthan",H.S. Corporation,"₹5,00,000 a year","Hello Everyone, hiring for Windows Server Administrations profile,
Experience - Minimum 2 years
Job Type: Full-time
Salary: ₹500,000.00 /year
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)"
System Administrator,"Jaipur, Rajasthan",Aria Telecom Solutions,None,"Job Description
Knowledge to configure Routers, Switches, IP Phones, Servers.
IP configuration, Networks (LAN, WAN)
Basic knowledge of database MYSQL,SQL Server
Familiarity with various operating systems and platforms,
Basic knowledge of Linux & Centos
Installing & Configuring Software & Hardware
Monitoring System/Server performance and troubleshooting issues
Coordination with Technical Team for client site issues
Maintains Email
Experience - 1-3 years
Job Location - Jaipur
Please send your resume at hrd@ariasolutions.net"
system administrator/ Security Expert...,"Agra, Uttar Pradesh",globistic Management solution,"₹20,000 - ₹45,000 a month","Requirement of IT resources support in Data Centre
Profile: (a) System Administrator
(b) Network Administrator
(c) Security Expert
(d) MEP Engineer
Experience: 2Year - 5 Year
Salary : 15,000 - 45,000
Location: Agra
Vacancy: 16
Sandeep - 8172000380
Job Type: Full-time
Salary: ₹20,000.00 to ₹45,000.00 /month
Job Type: Full-time
Pay: ₹20,000.00 - ₹45,000.00 per month
Experience:
Network Security: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
No"
System Administrator,India,Web Dunia,None,"IT and Support
Windows, Linux, ADS, Exchange & Remote Management Tools,SQL Server, Oracle, MySQL,Processes: PPQA, SQA, SEPG, Testing

Position
System Administrator

Essentials
Very good communication skills.
Good understanding of Operating System at a Administration Level as well as User Level.
Concepts and practical knowledge on networking.
Should have very good experience in providing Technical Support.
Administration and configuration of Web server (Apache), Mail Server (Sendmail/ Qmail), Squid, DNS, FTP, SAMBA and LDAP on Linux.
Knowledge of Firewall.
Knowledge of Windows NT / 2000.

Education & Experience
Minimum 2 years experience in development or large user installation. .

Preffered
Good Analytical/Problem solving skills"
Network & System Administrator,"Pune, Maharashtra",ITarium Technologies India Pvt Ltd,None,"Job Description:
· Knowledge in Windows & Linux environments, handling high-end servers, Desktop support
· System administration on Windows 7,10 pro, Linux (Ubuntu, Cent OS), MAC
· Skills on Windows Server 2008, 2012.
· Must have experience in Windows server management
· Must have networking and security knowledge
· Linux certified
· Cloud knowledge would be a plus
Job Type: Full-time
Experience:
work: 2 years (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
Application Server cum System Administrator,India,Tavas Consultancy,None,"Location:Jaipur
category:IT Software – Client Server
experience:6 – 6 Years
Company:Access Infotech Pvt Ltd.
Source URL: https://www.wisdomjobs.com"
Network Administrator,India,Larsen & Toubro Infotech Limited,None,"Senior network engineer to support and troubleshoot Layer 3 and Layer 2 issues in network and security domain. fair knowledge on administration and troubleshooting activities for DC infrastructure and cisco security devices. Candidate should have strong foundation on Juniper, Cisco and other technologies. The candidate should have expertise in planning, designing Implementation, & troubleshooting of Routing protocols Like BGP, OSPF and good understanding on network terminologies like IP Protocol, Security, Ether Channel, AAA (TACACS+ & RADIUS) EIGRP etc. Candidate should have Strong foundation on Juniper Platform QFX, EX services devices. Exposure in ticketing systems like. Service Now, HPSM will be added advantage. Working towards maximum network uptime and customer satisfaction. Fair Knowledge on reporting, SLA uptime and other industry terminology. Good communication/Presentation skills and customer focused attitude Maintenance of client relationship Provides project coordination duties for assigned projects. coordinating vendor/OEM for various issues Facilitates communication between project team members. Proactively monitors and reports status of project efforts, anticipates, and identifies issues that inhibit the attainment of project goals and implements corrective actions Demonstrated ability to oversee project work activities. Willing to work in 24*7 Support on a rotational basis and lead the daily operations of the production environment."
IT Executive / System Administrator,"Bhopal, Madhya Pradesh",Swastik Total Health,None,"Essential Qualifications: Master in computer Applications or BE from a recognized institutions. Should be aware of Server Management, Networking ,Hardware and Hospital Software Management.
Position(s) : 3
Location : Multiple locations across Madhya Pradesh.

Note : Please send us your latest resume (.doc or .pdf formats only) along with the Job Reference Id in the subject to info@swastikhealth.com."
Linux System Administrator,"Bengaluru, Karnataka",vepsun technologies,"₹25,000 - ₹35,000 a month","Linux Administrator Job Description
Linux administrators are back-end IT specialists who install, configure, and maintain Linux operating systems in a variety of organizations. This role involves server-side operations and troubleshooting tasks that support business-critical and development activities. Linux administrators also configure user access and monitor system stability and security through deployment and everyday use.
This role requires extensive familiarity with Linux systems and servers and may involve a high level of risk assessment and user support. Because Linux is an open-source operating system, administrators also frequently communicate and collaborate with other developers to develop and implement system enhancements.
Linux Administrator Duties and ResponsibilitiesWhile the specific duties of a Linux administrator can vary based on their business and industry, the general responsibilities of this role are relatively consistent. Based on listings that we analyzed, these duties include:
Install and Configure Linux Systems
A Linux administrator’s main responsibility is to install and set up Linux systems and servers, often for organization-wide deployment. They develop servers and work with individual users to ensure that the system works reliably and quickly and answer questions related to setup and installation. In this role, Linux administrators also set up the architecture of the system, including back-end databases and scripts for specific applications and use cases.
Perform System Maintenance
Linux administrators also perform routine system maintenance and resolve server-side issues as they arise. This aspect of the role requires the Linux administrator to review error logs and reported errors and seek out solutions. Frequently, Linux administrators need to work directly with the system’s source code to make necessary changes to ensure reliable performance and then deploy those changes throughout the system.
Create System Backups
Linux administrators also conduct system backups according to company or industry standards. They may perform these backups weekly, daily, or more frequently depending on system space and business needs. This improves system recovery after a crash or other outage and supports data integrity by ensuring that there is never a massive loss of vital information.
Monitor System Performance
In addition to maintaining Linux systems and servers, Linux administrators also monitor system performance to prevent slowdowns and crashes. They may examine daily traffic logs and reports or receive direct reports from end users. If the Linux administrator notices potential issues or recurring problems within the system, they develop and deploy solutions so that the system remains usable for all personnel.
Provide Technical Support and Guidance
Linux administrators provide technical support and guidance to users and other administrators. In many cases, the Linux administrator works closely with other developers to answer technical questions or resolve issues with server-side performance. They may also support users by assisting with installation and maintenance of Linux-based programs and help debug these applications so that they work with existing servers.
Maintain System Security
Finally, Linux administrators maintain system security by actively identifying faults and vulnerable areas within the system’s architecture. This part of the job requires extensive knowledge of viruses and other sources of system vulnerability, and requires the Linux administrator to proactively develop protections, particularly when deploying system-wide changes that can open up new vulnerabilities.
Job Type: Full-time
Salary: ₹25,000.00 to ₹35,000.00 /month
Experience:
system administration: 1 year (Preferred)
work: 1 year (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Yes"
Network & Systems Administrator,Goa,CodeMax IT Solutions,None,"Skills And Qualifications:
2 years experience in a similar role.
Very strong knowledge of computer hardware
Hands-on experience in routers and switches including VLAN and DHCP management.
Understanding of basic network fundamentals including IP Address and Subnets, Ethernet, WAN, LAN, WLAN etc.
Knowledge in Linux package management tools.
Quick learner, a passion for upskilling and keeping up with the latest trends in the industry.
Hard-working candidates with enthusiasm to work in startup environments will be considered.
Excellent analytical and problem-solving/ troubleshooting skills.
Good technical documentation and communication skills.
CCNA/Comptia A+/RHCE or similar certifications and knowledge in Nginx and MySQL, experience in CISCO switches will be considered as an advantage.

Responsibilities:
Diagnose hardware and software problems (Linux and Windows OS), and replace defective components including routers.
Setting up of development systems including OS installation, SSH and other required software.
Maintain and administer computer networks and related computing environments, including computer hardware, systems software, applications software, and all configurations.
Operate master consoles in order to monitor the performance of computer systems and networks, and to coordinate computer network access and use.
Perform routine network startup and shutdown procedures, and maintain control records.
Design, configure and test computer hardware, networking software and operating system software.
Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.
Confer with network users about how to solve existing system problems.
Monitor network performance in order to determine whether adjustments need to be made, and to suggest where changes will need to be made in the future.
Load computer tapes and disks, and install the software and printer paper or forms.
Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.
Analyze equipment performance records in order to determine the need for repair or replacement.
Maintain logs related to network functions, as well as maintenance and repair records.
Research new technology, and implement it or recommend its implementation.
Maintain an inventory of parts for emergency repairs.
Coordinate with vendors and with company personnel in order to facilitate purchases.


Location: Goa
Open Position: 1

hr@cdmx.in"
Desktop Support Engineer - L1,India,Dhii Health Tech Pvt Ltd,"₹2,00,000 - ₹4,00,000 a year","Functional Area Other
Industry Type IT-Software-Software Services
Keywords lan,operating system,desktop support engineer,server support,usage,printer,anti virus,technical,load,desktops
Give Permanent fix to the desktop, printer problems, basic LAN & server Support issues. Load/Reload standard build operating system configurations. Installation & troublingshooting of critical applications & their usage guidelines. Installation of anti-virus on desktops and remove virus. Esclate the problem to the technical specialist & to regional/ National Team Leads if not resolved.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification BCA / BCM (Computers)
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
Associate Platform System Administrator,Maharashtra,BMC Software,None,"Description and Requirements
BMC helps customers run and reinvent their businesses in the digital age by tackling their IT management challenges, championing their innovation, and celebrating their success.
Every BMC employee has the potential to have a tremendous impact on customer success—and when customers thrive, we all do.

BMC offers bold and fearless career-seekers like you the opportunity to expand your skills, your network, and your horizons as you work to enable customer growth and innovation every day. You will be surrounded by peers who inspire you, drive you, support you, and make you laugh out loud, in an environment that fosters individuality, respect, and personal ambition.
BU Description:
Information Services and Technology (IS&T) provides all the required technology and operational support services to run the business in BMC. IS&T has around 200 plus servers on premises to support production, Disaster recovery databases, applications and around 1000 plus servers in Lab environment. IS&T supports some of the cloud application environments used for business. IS&T is transformational not only for BMC but also for the customer experience, it gives 360 degree view to the customer about the products they should know, opportunities in the pipeline, and any service issues outstanding with the customer.

Position Description:
BMC IS&T is looking for an Application administrator for windows environment.
This person would be responsible for managing and administration of Applications on the windows server and farms.
Experience on IIS and knowledge about Active Directory.
Knowledge of PowerShell Scripting and understating of Windows server OS
Good understanding of monitoring, archiving and backup restore tools.

Primary Roles and Responsibilities:
Good knowledge on PowerShell scripting.
Ability to work under pressure on multiple projects (concurrently) in an agile development environment.
Ability to be a team player and collaborate effectively with various levels of stakeholders on a project team is essential
Should be aware of Application and OS patching methodologies.
Knowledge of SharePoint or any cloud application administration would be an added advantage.
Willing to learn technologies like Hyperion, Business Objects, IT2, SharePoint, BMC Control-M

Experience/ Qualifications:
Educational Qualification-BE/MCA (Any Stream).
Around 2 to 3 years of experience in Application administration on Windows.
Should have hands-on experience into PowerShell scripting.
Ready to work in rotational shifts (no night shift), weekend on-call support

It is the policy of BMC Software to afford equal opportunity for employment to all individuals regardless of race, color, age, national origin, physical or mental disability, history of disability, ancestry, citizenship status, political affiliation, religion, gender, transgender, gender identity, gender expression, marital status, status as a parent, sexual orientation, veteran status, genetic information or other factors prohibited by law, and to prohibit harassment or retaliation based on any of these factors.

If you need a reasonable accommodation for any part of the application and hiring process, visit the accommodation request page."
Technical Support / Desktop support,"Panchkula, Haryana",truebluetechprinter.com,"₹3,00,000 - ₹3,80,000 a year","Customer support on call, mail and remote session
Minimum 1 year of technical support experience mandatory
Should have knowledge on email, DNS, mail client configuration
Laptop and Desktop support mandatory
Graduate and undergraduate can apply
open for night shift
printer, router and server support experience candidates can also apply.
Hiring for both Domestic and International technical support profile.
Looking for excellent communication skills.
Job Type: Full-time
Salary: ₹300,000.00 to ₹380,000.00 /year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Higher Secondary(12th Pass) (Preferred)
Work Remotely:
No"
Systems Administrator,India,Technovatrix,None,"Location: India - Service Line: IT Consulting(Offshore Delivery Center)
Description
Manage all aspects of system/application engineering including problem-solving, configuration and implementation efforts for large/complex projects with an emphasis on operational excellence and continuous improvement of systems engineering-related processes and procedures
Manage a team of analysts in the execution of systems administration and implementation of engineered systems
Plan, architect solutions, document procedures and coordinate systems software and hardware activities. Manage local and remote team members and their clients, including team members and customers
Operate as the primary resource on a project, through planning, resource allocation, conflict resolution, project negotiation, and reporting. This individual should be able to manage the application through its entire lifecycle
Flexibility to work in a dynamic fast paced environment with rapid technology changes and complex customer demands"
AIX System Administrator,"Pune, Maharashtra",Atos,None,"TBC

Must - Have: -Minimum 5 Plus years of Experience in AIX & Linux Server admin Skills
The Engineer is responsible for building and supporting complex Big Data solutions.
Knowledge of AIX LVM, NIM, Networking
Worked on AIX virtualization & HACMP clusters environment
Strong working knowledge/understanding of Unix
IBM AIX /Power HA cluster Certified
Responsibility of / Expectations from the Role: -
AIX 7.1 & 7.2 OS Installation and Patching (OS updates & migration using nimadm)
OS Administration Tasks, Troubleshoot and Analyze Operational Issues
Good working Knowledge of AIX NIM and working on HMC
Extensively worked on hardware replacements like bad disks, adapters etc.
Good Knowledge of AIX Logical Volume Manager, NFS and Networking
Experience of doing Firmware upgrades of server, disks and adapters
Good communication, should be able to handle client calls & Vendor coordination
Basic Shell Scripting

TBC"
System Administrator/Support Engineer,"Gurgaon, Haryana",viz experts,"₹1,00,000 - ₹3,00,000 a year","Functional Area Other
Industry Type Telcom-ISP
Keywords Networking,Presales,Computer hardware,Windows System Administration,Automation,Windows administration,System Administrator,Network infrastructure,Linux administration
Job Description

The role may be changed or tweaked keeping in mind the capabilities and performance of the candidate.

The System administrator is responsible for the following:-

Managing Assigned LABs
Configure and manage Infrastructure including, PCs (Windows and Linux), Network devices, Display devices, Databases and automation of testing infrastructure.
Windows administration
Demo setup assistance
Software/Hardware Installation at customer site
Software/Hardware Upgrade at Customer site
Understanding VizExperts Software and demonstrating to visitors
Documenting issues and updating documents wherever required
Inventory management of software and hardware
Pre-sales/Technical Marketing activities
Meeting clients and gather requirements
Accompany Engineers for technical demonstration
Documenting and forwarding to Marketing/Sales teams
Helping Sales and Marketing team wherever required
Other
Knowledge sharing to team
Customer Software training.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification BE / B.Tech (Any Specialization)
PG Qualifications M.Sc (Chemistry)
Note: Candidate should have either UG or PG qualifications"
Application Support Engineer / Desktop Support,"Delhi, Delhi",Aperta Limited,"₹21,500 - ₹40,000 a month","Designation: Application Support Engineer
Qualification: Any graduate with Computer science background
Experience: 1 to 4 yrs
Technical Skills: SQL, Windows server, Desktop Support, hardware and networking.
Responsibilities:
L1 and L2 application support
Troubleshooting the application and customization
Server maintenance
Work Location: Delhi NCR
Job Type: Full-time
Salary: ₹21,500.00 to ₹40,000.00 /month
COVID-19 considerations:
During COVID Pandemic, we are providing the sanitizers, Masks and also expenses for employee's routine travel to office
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
AIX System Administrator,"Noida, Uttar Pradesh",acuteinformatics pvt ltd,"₹35,000 - ₹40,000 a month","Monitoring of servers
AIX 5.X, 6.X, 7.X OS installation & configuration on P series servers
Hands on working knowledge of TL update
User Management
Knowledge of RAID levels
LPAR administration
Cluster management
Working knowledge of VIO servers
Working knowledge of HMC
OS log analysis
RCA preparation,
Backup Operation
Sending daily reports
Health checklist preparation & monitoring
Basic knowledge of network and OS trouble shooting
Coordination with vendor for Hardware issues
Complete owner ship of all the incident/change/patch management /service request in the AIX domain
24X7 support window
Job Type: Full-time
Salary: ₹35,000.00 to ₹40,000.00 /month
Experience:
Aix support: 4 years (Required)
Education:
Bachelor's (Required)
Benefits:
Health insurance
Provident fund (PF)
Industry:
IT Operations & Helpdesk
Work Remotely:
Yes"
