Title,Location,Company,Salary,Sponsored,Description,
Research Analyst,India,Commoditiescontrol.com,None,Organic,"Research Analyst
Post graduate in Agricultural Economics/ Agri-Business Management with good writing and communication skills.
The job involves research and analysis of commodity markets spot and futures as well as domestic and international.
Tracking commodities and preparing daily news and commentaries
Tracking domestic and global economic developments and analysing their impact on commodity markets.
Preparation of brief research and analytical special reports.
Visiting markets and conducting surveys.
Experience: Fresher to 2yrs relevant experience
Package: As per industry norms
Interested candidates, please send us your resume with details to careers@commoditiescontrol.com.",
Research Analyst,"Noida, Uttar Pradesh",Exuberant Solutions,None,Organic,"Manage at least one client from end to end; would include regular interaction with the client to strengthen the relationship and be on top of identifying opportunities to act as a solutions provider.
Identify opportunities to cross-sell and provide value-adds to his/her clients.
Writing proposals and conduct scoping and effort estimation for projects in the pipeline to provide prior visibility to the client.
Aid in decision making related to client management.


Location -
INDIA


Experience -
1-4 years


Desires Qualification -
Graduate or Post Graduate with relevant subject.",
Research Analyst,"Mumbai, Maharashtra",CC Commodity Info Services LLP,"₹1,75,000 - ₹5,50,000 a year",Organic,"Functional Area Other
Industry Type Other
Keywords Research Analyst
The job involves research and analysis of commodity markets spot and futures as well as domestic and international.
Tracking commodities and preparing daily news and commentaries
Tracking domestic and global economic developments and analysing their impact on commodity markets.
Preparation of brief research and analytical special reports.
Visiting markets and conducting surveys.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",
Research Analyst,"Malleswaram, Karnataka",QuinPro Info Services Private Limited,"₹2,00,000 - ₹2,50,000 a year",Organic,"RESPONSIBILITIES:
1. Perform tasks and duties as assigned by the reporting TL/ AM.
2. Ensure daily/ weekly/ monthly targets are achieved in a time bound manner.
3. Provide EOD reports to the reporting TL/ AM, regarding day's activities.
4. Interact with team members regularly, to facilitate closures and to achieve team/ operational targets.
5. Perform due scrutiny of all documents received for BGV, report any insufficiencies found to the reporting TL/ AM, for timely action.
6. Initiate the appropriate checks (through emails/ calls) to the applicable Educational/ Employment organization.
7. Update all actions taken during case initiation in the CRM application, with remarks if required.
8. Ensure all cases initiated, are followed up daily to achieve closures with the TAT.
9. Ensure all the above responsibilities are performed in accordance with the Information security and the Quality policy as laid down by the management.
Job Type: Full-time
Salary: ₹200,000.00 to ₹250,000.00 /year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Yes",
Research Analyst,"Gurgaon, Haryana",Benori Knowledge Solutions,None,Organic,"We are looking for Research Analyst to work on a variety of custom research assignments for Benori’s clients and partners.
Key Responsibilities:
Conducting in-depth secondary and primary research
Data collection, synthesis and analysis
Basic data modelling and data interpretation
Writing reports and preparing presentations
Qualifications and Skills:
Bachelor’s/Master’s degree in any discipline
Experience in conducting primary and secondary research
Strong analytical ability and attention to detail
Ability to work closely with client teams
Excellent communication and presentation skills
Should be excited about working in a startup as part of a fast-paced and rapidly evolving team
Apply here or write to us at recruitment@benoriknowledge.com",
Research Analyst,"Bengaluru, Karnataka",Neo Group,None,Organic,"OBJECTIVES OF THE POSITION
To support the research team on accumulation of knowledge and research initiatives.
Over time, research analyst will become Senior Research Analyst and Lead Analysts or Team leaders with specialist skillsets and domain experts.
This is a remote position and we prefer analysts who can work US timings.
RESPONSIBILITIES
Administer coverage of global locations and suppliers: Collect and update data with the latest available information for assigned targets through both primary and secondary sources.
Should have knowledge about financial terms and should be able to read, understand, analyse data from annual reports
Should have in-depth knowledge about economic indicators such as GDP, inflation and their impact on economy.
Should have adequate knowledge about outsourcing industry and economic and geo-political situation of different countries.
Should be able to identify risk and opportunities of doing business in particular location by undertaking secondary and primary research.
Should be able to retrieve information for any data point by using relevant key words through various free to air search engines
Should be able to analyze data and write high quality professional research reports and provide insights and guidance to our clients.
Monitor news and events that happen across the globe and produce event alerts for clients as and when it occurs (with actionable guidance) for clients as and when they occur.
Contribute new ideas for the development of value-added analysis for our customers and subscribers
Should be able to analyze data and provide relevant insights to our clients.
QUALIFICATION
Post Graduate in any stream from a well-known university.
1 to 4 years of experience in business/market research (specifically secondary research) covering outsourcing buyers, providers and emerging market trends.
Sound analysis and data interpretation ability
Computer Knowledge: MS Word, MS Excel and MS Power Point
EXPERIENCE
IT/BPO industry knowledge
Excellent communication and interpersonal skills
Multi-tasking ability, quick learning skills and ability work under strict timelines
APPLY TODAY
Send your updated profile/resume",
Research Analyst,"Saket, Delhi",ndlo consulting,None,Organic,"Position: 1

Location: Saket, New Delhi

Roles and responsibilities:
As a member of the Business Research team, the Research Analyst will play an active role in providing research support on client and industry related assignments as well as monitoring and sharing business and industry knowledge. Also support markets and business development efforts.

Requirements:
Degree holder in Business, Commerce, Economics or related subjects (Masters degree preferred)
Wide understanding of economic, business, industry and investment issues
Critical thinking and analytical skills to highlight points of view and should be detail-oriented
Good business writing and communication skills
Should be internet savvy with strong working knowledge of MS Office
Personal attributes should include a creative mind set, highly self-motivated and good interpersonal skills
Should be willing to travel extensively

Experience:0-2 Years",
Research Analyst,Andhra Pradesh,SumTotal,None,Organic,"Senior Research Analyst
Are you passionate about learning and intellectually curious? Do you thrive in a fast paced, innovative work environment where team members hold themselves and others accountable? Are you energized by trying new things, have an agile mindset and enjoy making an impact? Is working for a purpose driven organization important to you? If the answers to these questions are a resounding YES, then read on!
Skillsoft is the global leader in corporate learning. We help businesses solve their biggest challenge – attracting, motivating and retaining world class talent. Our team is recognized for cutting edge digital learning and human capital management solutions. Trusted by the world's leading organizations, including 65% of the Fortune 500, we train more professionals than any other company in the world. Our 100,000+ courses, videos and books are accessed over 130 million times every month, in 160 countries and 29 languages. At Skillsoft, we believe that knowledge is the fuel for innovation and innovation is the fuel for business growth.
Skillsoft’s SumTotal Strategic Business Unit has nearly 30 years of learning and HR software experience. High-performing organizations recognize that learning and development are core to their business success and overall talent management and workforce initiatives. That’s why more than 3,500 organizations, including many of Fortune’s “Best Places to Work,” rely on SumTotal’s solutions to enable their employees.
We are all about “Making Work Matter.” With over 2000 employees around the world, we are always looking for amazing talent!
Overview:
We are seeking a talented and innovative Competitive Intelligence Analyst to join our growing research unit in Hyderabad, India.
You will be passionate about market research with significant experience in understanding and articulating competitor behavior.
Opportunity Highlights:
You will be Skillsoft’s champion of all competitor and market intelligence across the business.
You will be responsible for delivering competitive research and insights as part of a growing best in class competitor research team.
Your work will feed strategic decision making for the Executive in resource allocation and support product managers and sales leaders.
Responsible for presenting in meetings, web sessions competitor insights, setting up traps, our response
Conducting Data Analysis, Gap Analysis, SWOT for key competitors
Skills & Qualifications:
Advanced Exce
Presentations
Research Skills
Data Analysis
VBA
Success Qualities:
Adaptable and Agile. Responds quickly to the changing needs of the business and is resilient in the face of setbacks or adversity.
Confident & Audacious Achiever. Champions breakthrough initiatives and holds him/herself and others accountable for delivering. Enjoys working hard; is action-oriented and full of energy for the things he/she sees as challenging; not fearful of acting without over-analysis.
Entrepreneurial Spirit with Learner’s Mindset. Is uncomfortable with simply maintaining ""status quo"" and is intellectually curious and demanding of excellence and continuous improvement.
Committed to our Collective Purpose. Leverages cross functional collaboration to solve complex business issues and drive greater results.
Authentic & Customer Centric. Never compromises integrity to achieve results while constantly being mindful of creating a positive customer experience both internally and externally. Adheres to an uncompromising set of core values and beliefs during both good and bad times; practices what he/she preaches. Acts with the highest standards of conduct and is seen as a direct, truthful individual.
Thank you for taking the time to learn more about us.
If this opportunity intrigues you, we'd love for you to apply!
NOTE TO EMPLOYMENT AGENCIES: We value the partnerships we have built with our preferred vendors. Skillsoft does not accept unsolicited resumes from employment agencies. All resumes submitted by employment agencies directly to any Skillsoft employee or hiring manager in any form without a signed Skillsoft Employment Agency Agreement on file and search engagement for that position will be deemed unsolicited in nature. No fee will be paid in the event the candidate is subsequently hired as a result of the referral or through other means.",
Research Analyst,"Pune, Maharashtra",XDBS Private Limited,"₹1,50,000 - ₹2,50,000 a year",Organic,"Greetings from XDBS Market Research Company!
Here's The JD FYR
We have an opportunity for all graduates, to enhance your career in International Sales and Marketing field.
*Its a great opportunity to join as Research Analyst
PFB Job details :
POSITION: Research Analyst (Operations) International Market.
Salary: Best in the Industry with Uncapped Incentives!
SHIFT TIME: 6pm-3am (Process Training and On Job training will be in the morning from 8AM-5PM)*
*Working days: Monday to Friday FIXED SATURDAY SUNDAY OFF!!*
*Perks:
Medical Insurance
Personal Accidental Insurance
One time meal (Lunch/Dinner)
*Why should you join XDBS?
Fastest Growing Company in the industry
Ample growth opportunities: 80% of lateral positions filled through IJPs
Eligibility Criteria: Graduate/Post Graduate.
Has to have experience in Market Research, Research Analyst B2B domai. (Compulsory)
*Skills Required: Excellent communication in English* .*
JOB PROFILE:
- Contact Discovery via Professional networking sites, like LinkedIn, zoom info, jigsaw, inside view etc.
- Market Research, Contact Discovery and Profiling.
- Pre Sales, Cold Calling and Lead Generation.
- Effectively perform outbound calls to target prospects in defined geographies
- Focused on achieving/ exceeding daily/ weekly/monthly targets defined for self and team
- Converting the right business opportunity/lead to an appointment for the client from US and UK.
-Making outbound US calls.
*
DESIRED CANDIDATE PROFILE: *
Candidate should be smart and confident, should be able to navigate and convince the decision makers, performance oriented and flexible at work.
*
SALARY : * No bar for right candidate. Attractive package for freshers to start their career with.
Contact - Rutuja HR Executive 8237000989
Job Type: Full-time
Salary: ₹150,000.00 to ₹250,000.00 /year
Experience:
work: 1 year (Required)
total work: 1 year (Required)
Education:
Secondary(10th Pass) (Preferred)
Work Remotely:
Yes",
Research Analyst,"Gurgaon, Haryana",IHS Markit,None,Organic,"Summary:
The Research Analyst, Steel Raw Materials position requires a junior to mid-level research analyst with 2 to 3 years of experience in researching steel raw materials. The Research Analyst, Steel Raw Materials is expected to work within the Coal, Metals & Mining team to perform research, insight and data functions, as well as additional analysis as needed, including contributions consulting projects.
Job Duties:
Contribute to and/or maintain supply-demand balance sheets for iron ore, scrap, and minor metals used in the steel making process.
Contribute to and/or maintain price forecasts for these steel raw materials
Contribute to monthly and ad hoc deliverables on the steel raw materials markets
Engage with clients of IHS Markit’s Steel Raw Materials service, delivering key messages and insights.
Collect data from a wide variety of global sources, with very high accuracy and attention to detail. Maintain data in optimal formats that are accessible by research analysts globally.
Develop new deliverables, including data visualizations in Power BI.
Analysts will be encouraged to contribute to regular reports and original research, collaborating with the broader Coal, Metals & Mining team, and other groups within IHS Markit.
Required Education:
Graduate degree in mathematics, engineering, economics, statistics or industry-related field required. Graduate degree with quantitative skills a plus.
Required Experience:
At least 2 years of experience in a steel raw materials research, or within the steel or steel raw materials industry
Other Skills:
Strong numerical and data analytical skills
Strong writing ability
Effective verbal communication skills
Advanced proficiency with MS Office applications required (Excel, Word and PowerPoint). Knowledge of Power BI, Tableau, VBA advantageous.
What You'll Love About Us – Do ask us about these!
Total Rewards. Monetary, beneficial and developmental rewards!
Work Life Balance. You can't do a good job if your job is all you do!
Prepare for the Future. Academy – we are all learners; we are all teachers!
Employee Assistance Program. Confidential and Professional Counselling and Consulting.
Diversity & Inclusion. HeForShe!
Internal Mobility. Grow with us!
Company overview
IHS Markit harnesses deep sources of information, analytics and expertise to forge solutions for the industries and markets that drive global economies. Our company partners with clients in business, finance and government to provide the unrivalled insights and perspectives that lead to well-informed, confident decisions. We call this The New Intelligence.
IHS Markit serves more than 50,000 key customers in more than 140 countries, including 80 percent of the Fortune Global 500. We help decision makers apply higher-level thinking to daily tasks and strategic issues across a host of industries and disciplines including energy, finance, automotive, engineering, technology, maritime and trade, chemical, and economics and country risk.
Headquartered in London, IHS Markit (Nasdaq: INFO) is committed to sustainable, profitable growth.
-
IHS Markit is committed to providing equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by the laws and regulations in any of our locations.
We are proud to provide reasonable accommodations to applicants with disabilities. If you are interested in applying for employment with IHS Markit and need special assistance or an accommodation to use our website or to apply for a position, please contact or call +1 212 849 0399. Determination on requests for reasonable accommodation are considered on a case-by-case basis. This contact information (email and phone) is intended for application assistance and accommodation requests only. We are unable to accept resumes or provide information about application status through the phone number or email address above. Resumes are only accepted through the online application process, and only qualified candidates will receive consideration and follow-up.
IHS Markit maintains a substance-free workplace; employees may be asked to submit to a drug test (where permitted by law). In addition, as a federal contractor in the United States, the company participates in the E-Verify Program to confirm eligibility to work.
For information please click on the following links:
IHS Markit Business Code of Conduct
Right to Work
EEO is the Law
EEO is the Law Supplement
Pay Transparency Statement
-
Current Colleagues
If you are currently employed by IHS Markit, please apply internally via the Workday internal careers site.",
Research Analyst,"Bengaluru, Karnataka",SmartOwner Services India,None,Organic,"Job Profile
SmartOwner is looking for an Equity Research Analyst who can reviews stocks, bonds, and other financial instruments and give equity investment options for the company.
Key Roles and Responsibilities:
Maintain an extensive coverage list of companies and monitor all developments related to them
Review and interpret financial statements of covered companies
Do complete company due diligence
Provide fundamental research on industry / company and help generate timely and accurate investment recommendations
Participate in industry conferences, on-site visits and gather first-hand information
Develop financial models to accurately reflect companies’ overall performance and value
Monitor stock prices and identify trading patterns and come up with execution strategy
Monitor performance of each company’s part of the portfolio and provide timely updates and recommendations
Desired skills & experience:
Possess 3+ years of professional experience in Equity research, Financial Analysis, Equity valuation, Investment analysis and wealth management.
Possess good research skills and reporting making
Must possess excellent communication skills, both verbal and written
Possess good judgment skills.
Compensation and Benefits:
SmartOwner offers successful candidates an outstanding compensation package.",
Research Analyst,"Chennai, Tamil Nadu",Fhyzics Business Consultants Pvt. Ltd,"₹2,00,000 - ₹3,00,000 a year",Organic,"Functional Area Other
Industry Type IT-Software-Software Services
Keywords Business analysis,Research,Research Analyst,Analyst Trainee,Training,Business Executive
Research Analyst (Trainee) Job Description: This is a trainee position where the selected candidates will undergo training for a period of six months in research methodologies and business analysis. This position reports to Manager (IT) and Business Consultants and will be assisting them in various internal and client projects. On successful completion of the training, they will be absorbed in the permanent position
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification BE / B.Tech (Any Specialization)
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications",
Research Analyst,"Bengaluru, Karnataka",Avanzar Business Solutions,None,Organic,"Responsibilities:


Communicating with clients to understand and document the business objectives
Formulating analysis plans and acquiring client sign-off
Designing or assisting in the development of questionnaires and moderator guides to ensure the necessary data is captured
Conducting in-depth data analyses using traditional and advanced methods
Authoring reports containing actionable recommendations
Making presentations—answering questions and instilling confidence


Requirements:


A minimum of 3 to 5 years within the custom Market Research industry
1 to 3 years of industry/sector experience
Strong analytic and critical thinking skills
Exceptional written, oral, and presentation communication abilities
Expertise with Excel, PowerPoint, and SPSS/SAS
Bachelors or advanced degree in business, mathematics, or the sciences


Candidate will be preferred from Digital Marketing/Media agency background,Possess excellent communications & analytical skills,Should be able to showcase success client portfolios,Out of the box thinker, energetic and passionate self-starter",
Research Analyst,"Eluru, Andhra Pradesh",BizRak Web Solutions,None,Organic,"Required Skills for Senior Research Analyst

Qualify leads from marketing campaigns as sales opportunities
Present our company to potential clients
Identify client needs and suggest appropriate products/services
Customize product solutions to increase customer satisfaction
Build long-term trusting relationships with clients
Set up meetings or calls between (prospective) clients and Account Executives
Report to the Business Development Manager on sales results
Stay up-to-date with new products/services and new pricing/payment plans",
Research Analyst,"Gurgaon, Haryana",Voiceover,None,Organic,"You will be responsible for designing the research, interpreting data, formulating reports and making recommendations based upon the research findings. To accomplish this task, you will work closely with the client to understand, define and document the overarching business object. Apply qualitative and quantitative techniques to interpret the data, produce substantiated recommendations and present the findings / recommendations to the client.
Responsibilities
Interact with client to understand and document the research objectives and scope of research
Design questionnaires and moderator guides to ensure the necessary data is captured
Compile data &conduct in-depth data analyses using traditional and advanced methods
Interpret data, formulate reports and make actionable recommendations
Making presentations—answering questions and instilling confidence in clients
Catalogue findings to databases
Proactively generate new ideas on analyses and reporting that could provide additional insight into the performance
Take ownership of end-to-end research assignments entrusted and work closely with the extended team to produce impeccable quality outputs
Interact regularly with team lead/project manager and other team members
Skills and Qualifications
5 to 7 years of industry/sector experience
Self-starter with an entrepreneurial spirit
Strong analytic and critical thinking skills
Exceptional written, oral, and presentation communication abilities
Expertise with Excel, PowerPoint and analytical tools like SPSS etc
Bachelors or advanced degree in statistics, mathematics, or economics

To apply, please submit a cover letter, resume and portfolio to jobs@voice-over.co Submissions without a cover letter & resume or portfolio will not be considered.",
Research Analyst,"Pune, Maharashtra",Panomtech Technologies,None,Organic,"Job Description :
Meaningful experience in handling various kinds of research projects, client servicing, data interpretation & insights generation.
Comfort/ exposure to either all or some of the various techniques of primary research such as customer satisfaction, segmentation, brand & advertising research, pricing & product related research
Demonstrated analytical ability
Flair for quantitative and qualitative data analyses and interpretation
Able to synthesize large volumes of data into comprehensible and insightful information
Comfort with making intelligent assumptions to estimate not-so-easily available data points
Comfort with making conclusions based on data, as available
Qualification : PG- MBA/PGDM
Experience : 1-3 Years of Experience as a Market Research Analyst
Location : Pune,Ratnagiri, India",
Research Analyst,"Hyderabad, Telangana",IndustryARC,"₹4,00,000 - ₹8,00,000 a year",Organic,"Designation: Research Analyst/ Sr. Research Analyst

Domain: Electronics/Automation & Instrumentation/Food & Beverages/Chemicals
Experience: 2-6 Years

Duties and Responsibilities:
Establish market expertise in the relevant industry, contribute market insights and analyst briefings;
Conducting primary and secondary research; responsible to execute market research and consulting assignment/projects.
Develop relationships and conduct interviews with industry experts for the purpose of gathering primary data as well as produce research reports on market dynamics in the relevant industry;
Write market/Industry research studies and finalize them.
Finalize Table of contents/scope/structure of the market research studies.
Estimate market sizes and forecasting.
Develop your subordinates in conducting primary and secondary research.
Maintain project plan to deliver the report timely.
Analyse the MICRO and MACRO markets with respect to strategic issues, opportunities, market trends, competitor perspective and other such high level segments.
Motivate and enhance the performance of associates through regular feedback, guidance and acquired knowledge.
Skills Required:
B.Tech Chemical Engineering/ EEE / ECE or MBA.
Required prior industry experience in F&B/Electronics/Chemicals domains.
Superior analytical and conceptual ability with proven consulting skills.
Excellent communication, organizational or project management skills.
Motivated self-starter & able to work under pressure with tight deadlines.",
