Title,Location,Company,Salary,Description
Android Developer,"Vadodara, Gujarat",MeandCloud,"₹20,000 - ₹30,000 a month","Job Summary
We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits. Android app developer will work with our team of talented developers to design and build the next generation of our mobile applications. Android programmer will work closely with other app development and technical teams.
Responsibilities and Duties
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Key Skills
java , android , json, html, api
Required Experience and Qualifications
Proven software development experience and Android skills development
Proven working experience in Android app development and have published at least one original Android app
Experience with Android SDK
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle
Job Type: Full-time
Salary: ₹20,000.00 to ₹30,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Java: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Jaipur, Rajasthan",Last Option softwares,None,We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.
Android Developer,"Bhavnagar, Gujarat",Photo picker,"₹20,000 - ₹40,000 a month","Whatsapp Me for more details about job*.Job Types: Full-time, Part-time, Contract, Commission.Salary: ₹20,000.00 to ₹40,000.00 /month."
Android Developer,"Bengaluru, Karnataka",Tailwebs Technology Pvt. Ltd.,"₹2,50,000 - ₹7,00,000 a year","Design, develop, modify and implement mobile applications using Android.Collaborate with cross-functional teams to define, design, and ship new features."
Android Developer,"Noida, Uttar Pradesh",Edunext Technologies Pvt Ltd,None,"Greetings of the day!!!
We have an urgent requirement for the profile of Android developer in our company Edunext Technologies Pvt Ltd.
Experience- 0-4 year
Location- Sector 63- Noida
Fresher can also Apply
The only Face to Face Candidates should be applied for this Profile
Candidates should be available in Noida and comfortable for face to face interview
Roles and Responsibilities-
Continuously discover, evaluate and implement new security technologies in application to improve security
Keep eye on new technologies to maximize development efficiency Unit-test based coding for modular coding, reusability
Writing readable code
Maintain technical documentation
Bug fixes and improving the performance of existing applications
Work on new ideas for products, it prototypes and estimates Skill Sets for Android
Solid understanding and hands-on with full mobile application development life cycle
6 months+ years experience of design, coding, testing and debugging software
6 months+ years of experience of Java technologies and native Android development
Strong knowledge of Android SDK from Jellybean(API level 18) and above
Proficient understanding and hands-on with Android UI design principles-patterns and best practices
Extremely comfortable with RESTful APIs to communicate with the server
Must have worked with Google Location API, Social Login, etc
Strong knowledge of code versioning technologies and tools like Git
Strong analytical and problem-solving skills
Regards
Ruchika|HR Executive
9717524766
Job Types: Full-time, Walk-In
Salary: ₹10,000.00 to ₹60,000.00 /month
Experience:
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android Developer,"Pune, Maharashtra",InTouchApp,"₹2,40,000 - ₹6,00,000 a year","Do you dream of building a product that everyone around you, as well as people around the world, would love to use? Then it is time to open your eyes and make that dream a reality! Join us in our journey, as we aim to take InTouchApp to the global stage!
Requirements:
- 1 to 2 years hands-on experience with Android programming (If you are fresh out of college you should be great at Java + Android coding)
- Bachelor’s Degree
- Strong Java skills with good knowledge with an attitude of learning.
- Good understanding of object-oriented concepts
- Passionate about creating a phenomenal mobile experience.
- Good understanding of RESTful APIs
Preferred:
- Bachelor’s Degree in Computer Science / Engineering preferred
- Attitude towards the implementation of code and relevant tests.
- Hands-on experience with consuming RESTful APIs on Android client.
- Hands-on experience with 3rd party libraries like Retrofit, Android Support libraries, understanding of Material Design specification, Google Play Services.
- Familiarity with Kotlin a plus
Job Type: Full-time
Salary: ₹240,000.00 to ₹600,000.00 /year
Experience:
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Bhavnagar, Gujarat",Photo picker,"₹20,000 - ₹40,000 a month","Whatsapp Me for more details about job
MO : 8160643030 Anil Baraiya
Job Types: Full-time, Part-time, Contract, Commission
Salary: ₹20,000.00 to ₹40,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android Developer,"Delhi, Delhi",Mehnaj Softwar pvt. ktd,None,"Must have developed 5-7 apps with demonstratable evidence of app being published and being used by users
Excellent knowledge in core Java
Hands on experience in the full life cycle of Android application development & optimization
Strong knowledge in RESTful web services
Good Knowledge of Android SDK's
Eclipse & ANT based build system
Android Studio
Key Responsibility Area(s)-
Implement new technologies to maximize application performance
Design and build Android mobile applications
Collaborate with cross-functional teams to analyze, design, and ship new features
Fully responsible for mobile app development in the team
Build and publish applications in app stores .
Job Types: Full-time, Part-time
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
Programming Languages needed:
Java (Preferred)"
Android Developer,"Noida, Uttar Pradesh",Smartbox Media American INC,₹100 - ₹110 an hour,"NOTE: THIS IS FREELANCING JOB AND NOT FULL TIME. WE NEED FEW HOURS PER DAY BUT FOR LONG TERM
· Design and build Android mobile applications.
· Fully responsible for mobile app development in the team.
· Build and publish applications in Play store.
· Implement new technologies to maximize application performance.
· Extensive experience developing in Java.
· Good Java Standard Coding Skill.
· Proficient on Android Activities and Fragment lifecycle knowledge.
· Proficient on Android SDK and Android Platform”
· Understanding of Android Architecture, Framework, Android SDK, Core Java, Kotlin , Flutter, Android Studio IDE, Android Debugger.
· Hands-on experience in building mobile applications and mobility solutions - native application.
· Expert in UI components & controls; Action Bars, Widgets, Fragments, etc.
· Good working experience on Web Service Integration (REST, JSON, XML), Firebase & cloud technologies - GCM
· Experience in using analytics, location and social APIs, MDM, payment gateway, SMS gateway. Edtech background will be an added advantage but not mandatory.
· Machine Learning, Beacons, Taxi App, BLE (Bluetooth Low Energy) and Spring Boot API is an advantage.
Job Types: Part-time, Temporary
Salary: ₹100.00 to ₹110.00 /hour
Experience:
Android development: 2 years (Preferred)
work: 3 years (Preferred)
total work: 3 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
Android Developer,"Raipur, Chhattisgarh",MNCHOST Incorporation,"₹2,50,000 - ₹3,50,000 a year","We are searching for a brilliant, flexible Android Developer to create novel apps that meet the needs of our target audience. To this end, the Android Developer's Responsibilities include writing and proofreading code, liaising with coworkers within and outside of their department, and monitoring customers' feedback. Over time, you will also be required to create app updates.
To ensure success as an Android Developer, you should demonstrate proficiency in one of the mainstream programming languages, and a sound understanding of the traditional product life cycle. An exceptional Android Developer will be fearless but respectful in the pursuit of excellence, continually striving to shape the ways in which Android apps impact the world around us.
Job Types: Full-time, Contract
Salary: ₹250,000.00 to ₹350,000.00 /year
Experience:
Android development: 1 year (Required)
work: 1 year (Required)
total work: 1 year (Required)
Education:
Bachelor's (Required)
Programming Languages needed:
Java (Required)
Work Remotely:
Yes"
Android Developer,"Mohali, Punjab",Mansa Infotech® Pvt. Ltd.,"₹20,000 - ₹40,000 a year","We are looking for a motivated and talented Android Developer to join our talented and fun dream team. Please find the JD below for your better understanding and If you feel that your skills are matching please share your CV.
Duties & Responsibilities:
*
Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
*
*Skills Required:
Strong knowledge of Android SDK.
Proficient in different versions of Android, and know how to deal with different screen sizes.
Strong technical expertise on Android device platforms.
Good exposure to custom UI development.
Candidates should be responsible for Design applications around natural user interfaces.
Familiarity with Restful APIs to connect Android applications to back-end services.
Strong knowledge of Android UI design principles, patterns, and best practices.
Ability to understand business and technical requirements.
Familiarity with cloud message APIs and push notifications.
Proficient understanding of code versioning tools, such as Git.
*
*Other Highlights:
5-Days a week working
10:00 AM-06:30 PM
Regular Refreshments
Trips and Activities
*
About Us: At Mansa Infotech, we are offering remarkable Software and Mobile development solutions to our clients and customers globally. We started our successful journey in the year 2008 and have transformed ourselves from a mere ""Startup"" to a ""Successful IT Company"" and by providing a complete range of Software and Web Development Solutions, we have helped many startups to grow.Our Work Mantra ""Customer Delight"" always motivates us to bring out best identities, premium brands, plus hands-on web and mobile solutions for clients in the most hassle-free manner.
Interested candidates can contact us at 7652941612, 0172-4626261 for fixing an Interview time.
Job Type: Full-time
Salary: ₹20,000.00 to ₹40,000.00 /year
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Bengaluru, Karnataka",Websoftex Software Solution Pvt Ltd,"₹20,000 - ₹30,000 a month","Functional Area Engineering
Industry Type IT-Software-Software Services
Keywords android development, development, Software Development, android studio, JAVA, kotlin ,Full Stack Developer Internship
Urgent openings for Android Developer for 1-3 years experience/Bangalore

ob Location : Mathikere, Bangalore
Salary : 20K to 30 K

1) We are looking for an Android Developer who possesses a passion for pushing
2) mobile technologies to the limits and will work with our team of talented
Engineers to design and build the next generation of our mobile applications.

Responsibilities
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs
Desired Candidate Profile
Profile Description
Requirements
BE/MCA/MSc degree in Computer Science, Engineering or a related subject
Proven software development experience
Proven working experience in Android development
Have published at least one original Android app

1) Current CTC:
2) Expected CTC:
3) Notice period: -

Mail ID: jobs.websoftex at gmail.com

Experience: 1: 3 years (Preferred)
Under Graduate Qualification B.Sc (Any Specialization) BCA / BCM (Any Specialization) BE / B.Tech (Any Specialization) Graduation in 2019,2018,2017
PG Qualifications M.E. / M.Tech (Any Specialization) M.Sc (Any Specialization) MCA (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
Android Developer,India,Sigmato Solutions,"₹2,00,000 - ₹5,00,000 a year","Functional Area Other
Industry Type IT-Software-Software Services
Keywords Android,Coding,Monitoring,Computer science,Android SDK,Proof reading,product life cycle,android studio,Programming
We are searching for a brilliant, flexible Android Developer to create apps that meet the needs of our target audience. To this end, the Android Developer's Responsibilities include writing and proofreading code, liaising with co - workers within and outside of their department, and monitoring customer's feedback. Over time, you will also be required to create app updates. To ensure success as an Android Developer, you should demonstrate proficiency in one of the mainstream programming languages, and a sound understanding of the traditional product life cycle. An exceptional Android Developer will be fearless but respectful in the pursuit of excellence, continually striving to shape the ways in which Android apps impact the world around us.

Responsibilities and Duties
Conceptualizing and formulating apps that are suitable for use on all types of Android devices.
Implementing measures to safeguard the user's data.
Ensuring that the construction and presentation of your apps are congruent with the company's standards.
Proofreading your code and correcting mistakes before each app is released.
Collaborating with UI and UX Designers, as well as Software Testers, to ensure that each app is presentable and in perfect working order.
Liaising with the marketing department to ensure consistency in our company's 'voice' across the board.
Monitoring app reviews to detect areas for improvement.
Creating app updates, including bug fixes and additional features, for release. Required Experience, Skills and Qualifications
Degree in Software Development, Computer Science, or similar.
Ability to use the Android Studio, including the Android SDK, with ease.
Prior experience as an Android Developer will be advantageous.
Excellent coding and proofreading skills.
Top - notch teamwork and communication skills.
Ability to manage your workload with minimal supervision.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
Android Developer,"Ahmedabad, Gujarat",The Dezine,"₹12,000 - ₹25,000 a month","We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits and will work with our team of talented engineers to design and build the next generation of our mobile applications.
Job Specification:
Design and build advanced applications for the Android platform.
Should have good knowledge of JAVA and oops concept.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and API's.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance. Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Job Type: Full-time
Salary: ₹12,000.00 to ₹25,000.00 /month
Experience:
total work: 1 year (Required)
Location:
Ahmedabad, Gujarat (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Ahmedabad, Gujarat",PM Communications,"₹15,000 - ₹35,000 a month","PM Communications is Hiring for an experienced Android Developer in Ahmedabad.
Job Type: Full-time
Salary: ₹15,000.00 to ₹35,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Industry:
Software Development
Work Remotely:
No"
Android Developer,"Bengaluru, Karnataka",GRAYRIPPLES,"₹25,000 - ₹30,000 a month","Job Description
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Expected Profile
A Bachelor’s degree in Computer Science.
A candidate with minimum 1 year of experience in Android app development.
Should have published at least one original Android app.
A clear understanding of the mobile development life cycle is a must.
A proven experience with Android SDK and working with remote data via REST and JSON.
Experience working with third-party libraries and APIs is an added advantage.
A good understanding of the general mobile landscape, architectures, trends and emerging technologies is a required.
Ability to work independently, prioritize and solve problems proactively.
Work from home option is also available, location is not a constraint for the right candidate!!Apply below and we will get back to you soon.
Job Types: Full-time, Temporary
Salary: ₹25,000.00 to ₹30,000.00 /month
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 2 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)"
Android Developer,"New Delhi, Delhi",Maisha Infotech Pvt. Ltd.,"₹35,000 a month","We are looking android developer who has proficiency with Retrofit library, Firebase,Payment gateways,Google Map and location,Kotlin and java, Third party API's knowledge and experience.
Job Type: Full-time
Salary: ₹35,000.00 /month
Experience:
Android Development: 1 year (Required)
Education:
Bachelor's (Required)
Location:
New Delhi, Delhi (Required)
Benefits:
Paid leaves / Leave encashment
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Ahmedabad, Gujarat",CelloIP Technologies,None,"Job Summary
Android Application Development
Responsibilities and Duties
Develop Android application from design
Can analyse requirement and communicate with clients
Must have proficiency in communication
Should have knowledge of Core java and Android both.
Work on bug fixes and improvement of application.
Able to provide daily report to Manager.
Required Experience, Skills and Qualifications
0 to 2 years of experience in Android.
BE/MS/MCA/PGDCA degree in Computer Science, Engineering or a related subject.
Have published 3 or more application on Play store
Job Type: Full-time
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
MVP and MVVM: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Developer,None,Teknol India Pvt. Ltd.,"₹55,000 - ₹70,000 a month","Responsibilities:
Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Upgrade app to the Firebase Crashlytics SDK versions 17.0.0+
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Qualifications:
BS/MS degree in Computer Science, Engineering, or a related subject
Strong knowledge of Android UI design principles, patterns, and best practices
Proven software development experience and Android skills development
Proven working experience in Android app development and
Have published at least one original Android app
Experience with Android SDK
Firebase Crashlytics SDK versions 17.0.0+
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Understanding of Agile/Scrum methodology
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.
Understanding of Google’s Android design principles and interface guidelines
Familiarity with cloud message APIs and push notifications
Job Type: Full-time
Pay: ₹55,000.00 - ₹70,000.00 per month
Experience:
Android development: 4 years (Required)
work: 4 years (Required)
total work: 4 years (Required)
Education:
Bachelor's (Required)
Programming Languages needed:
CSS (Preferred)
Java (Preferred)
HTML (Preferred)
Work Remotely:
Yes"
Android Developer,"Jaipur, Rajasthan",Last Option softwares,None,"We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices. Your primary focus will be the development of Android applications and their integration with back-end services. You will be working along-side other engineers and developers working on different layers of the infrastructure. Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
Responsibilities:
Designing and developing advanced applications for the Android platform
Unit-testing code for robustness, including edge cases, usability, and general reliability
Bug fixing and improving application performance
Job Types: Full-time, Temporary, Walk-In
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Raipur, Chhattisgarh",Codicians,"₹15,000 - ₹20,000 a month","Job Summary
We are looking for Android Developer responsible for building innovative, scalable, enterprise and consumers solutions leveraging the latest technologies.
Responsibilities & Duties
- Design and build advanced applications on the Android platform
- Ensure the performance, quality, and responsiveness of applications
- Maintain code quality, organization, and automation
- Object Oriented Development / CS Background-Ideal candidates should understand object oriented development, and apply OO concepts to everything they do.
- Work with outside data sources and APIs
- Identify and correct bottlenecks and fix bugs
- Continuously discover, evaluate, and implement new technologies to maximize development efficiency
- Flexible to propose and implement your own ideas and solutions to challenging problems
Required Experience, Skills and Qualifications
- Comfortable with the Java Programming Language, Android Studio
- Experience with Android SDK
- Strong knowledge of Android UI design principles, patterns, and best practices
- Experience working with remote data via REST and JSON
- Experience with third-party libraries and APIs
- Solid understanding of the full mobile development life cycle and best practices to increase maintainability.
- Hands-on with databases like SQLite, MySQL etc.
- Familiarity with cloud message APIs, push notifications, GPS Location tracking, Google Map APIs etc.
- Self Learning Attitude.
Job Type: Full-time
Salary: ₹15,000.00 to ₹20,000.00 /month
Experience:
Android development: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Industry:
IT Operations & Helpdesk"
Android Developer,Maharashtra,Wharf Street Strategies,None,"Total Experience Required 1+ years
Skills Required
Kotlin
Java
Object Oriented Programming (OOPs)
Location Vashi, Navi mumbai
To apply for this job please email your CV at info@wharfstreetstrategies.com"
Android Developer,"Pune, Maharashtra",CLINTICO INFOTECH PRIVATE LIMITED,"₹1,00,000 - ₹5,00,000 a year","Functional Area Other
Industry Type IT-Software-Software Services
Keywords Android,Troubleshooting,Testing tools,Scrum,Backend,Selenium RC,Artificial Intelligence,Product quality,Testing,Test case design
We are looking for 0.6 - 1 yrs experienced

Android developers responsible for the development and maintenance of applications aimed at diverse Android devices.
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification
PG Qualifications Any PG Course (Any Specialization)
Note: Candidate should have either UG or PG qualifications"
Android Developer,"Pune, Maharashtra",Inevitable Services,None,"Job Description :
We are looking for an Android developer responsible for the development and maintenance of applications aimed at a vast number of diverse Android devices.
Your primary focus will be the development of Android applications and their integration with back-end services.
You will be working on different layers of the infrastructure.
Therefore, commitment to collaborative problem solving, sophisticated design, and creating quality products is essential.
A major role in designing and building our Android apps from ground up this means you'll be essential in laying down the groundwork, infrastructure and product discussion from start to finish. Technical design, implementation, debugging and testing of features for Android applications across smartphones and tablets.
You will be working on implementation of user interface and server side integration .
Provide QA with test or production builds.
Strong knowledge on owning the delivery of Android APK's to the Google Play Store per project requirements.
Identify differences and new features across Android versions and associate the benefits or risks associated with the same.
Education-
UG: Any Graduate - Android Specialization
PG: Any Graduate - Android Specialization

JOIN THE INEVITABLE TEAM!
We have the talented and experienced team in the industry and we are always looking for smart, creative, self-starters to join our team. If you are interested in joining our team, please email your resume to: hr@inevitablesoft.com"
Android Developer,"Ahmedabad, Gujarat",iQlance Solutions Pvt Ltd,"₹10,000 - ₹35,000 a month","Responsibilities:
Implementation of the different modules/features in the applications
Write high quality source code to program complete applications within deadlines
Take responsibilities and initiatives for the developments and provide best efficient solutions
Utilize programming principles, tools, and techniques to write application codes
.
Desired Skills & Experience:
Core java, collections concepts, OOPs concepts should be clear.
Android basic and UI components
Building app with Gradle.
Experience with Android X,Kotlin, Firebase, Material design, Crashlytics.
Experience with REST API, Push Notification, Google Map.
Experience with MVC, MVP or MVVM architecture
Knowledge of SQLite/ROOM database operations.
Understanding of mobile security protocols, memory management,
Integration of most popular third party libraries.
Debugging with Android Studio
Good to have:
Knowledge of Jetpack component.
Knowledge of NDK.
Knowledge of RxJava, RxAndroid, Dragger.
Knowledge any cross-platform framework like Flutter, React-Native…etc.
5 days Working Company
Location : Ahmedabad, PrahladNagar
Job Type: Full-time
Salary: ₹10,000.00 to ₹35,000.00 /month
Experience:
Android development: 1 year (Preferred)"
Android Developer,"Gurgaon, Haryana",Televisory (India) Pvt. Ltd,None,"Job Description:
We are looking for an Android Developer who have passion for pushing mobile technologies to the limits. This Android app developer will work with our team of engineers to design and build the mobile application.
Responsibilities
Design and build advanced applications for the Android platform.
Collaborate with cross-functional teams to define, design, and ship new features.
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate and implement new technologies to maximize development efficiency.
Requirements
BS/MS degree in Computer Science, Engineering or a related subject.
Proven software development experience and Android skills development.
Proven working experience in Android app development.
Have published at least one original Android app.
Experience with Android SDK
Experience working with remote data via REST and JSON.
Experience working with chart representation of data.
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Financial data knowledge is a plus
Type of Employment: Full-time
Location: Gurgaon
Company profile: please login to - https://www.televisory.com
Job Type: Full-time
COVID-19 considerations:
Yes, we are responding to COVID-19, we are ensuring our best support to our employees, as of now we are operating from home (WFH) and further also we will do our best in taking required measures in office - sanitization, face masks, social distancing"
Android Developer,"Bengaluru, Karnataka",Tailwebs Technology Pvt. Ltd.,"₹2,50,000 - ₹7,00,000 a year","Responsibilities:
Design, develop, modify and implement mobile applications using Android.
Implement creative and usable user interfaces.
Collaborate with cross-functional teams to define, design, and ship new features
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Required Technical Skills:
Object-Oriented Programming Skills
Strong in Core Java, and Android SDK implementation & good knowledge on Web Services, Web APIs & JSON- Kotlin
Strong debugging & troubleshooting skills.
Good understanding of Android frameworks like Activity Manager, Resource Manager, Location Manager, and Notification Manager.
Required experience:
Proven development skills is mandatory.
Job Type: Full-time
Salary: ₹250,000.00 to ₹700,000.00 /year
Experience:
Android Development: 1 year (Required)
Education:
Bachelor's (Required)
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Jaipur, Rajasthan",BVM Web Solutions Private Limited,"₹2,00,000 - ₹4,00,000 a year","Functional Area Other
Industry Type Other
Keywords J2Ee,Javascript,Android,Agile,Monitoring,big data analytics,Web technologies,IT security,Swift,IOS
Job DescriptionIntroductionAs an Application Developer , you will lead BVM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of BVM is in your hands as you transform vital business needs into code and drive innovation.Required Knowledge , Skills , and AbilitiesObjective C , Swift , Android , Javascript , Java , J2EE , Nodejs , Angular JS / React JS , C , NET - Have skills and experience in at least one of the following areas : IT Security Privacy , Big Data , Analytics and streaming / real time analytics. - Experience in creating Activities / Services / inter - process communication in Android - Maximum work experience in native android / iOS mobile app development domainEducation + ExperienceJob EducationCandidate OverviewOfferd Salary2 - 4 Lac.GenderAnyCareer LevelCareer Level App DeveloperIndustryIndustry IT CompanyExperience0 - 2 YearQualificationAny Graduate
Desired Candidate Profile
Profile Description
NA
Under Graduate Qualification BE / B.Tech (Any Specialization)
PG Qualifications
Note: Candidate should have either UG or PG qualifications"
Android Developer,"Delhi, Delhi",RoadCast,None,"Job Detail
Department
Android Developer
Location
Delhi
Job Type:
Full Time
Qualifications
Graduate
Experience
2-4 Years
Offered Salary
Industry Standard
Android Developer
Strong OO design and programming skills in Java. Familiar with the Android SDK and Android Studio. Knowledge of SQLite/Realm, MySQL or similar database management system. Working knowledge on firebase."
Android Developer,"Ahmedabad, Gujarat",Adeline Infotech,"₹2,40,000 - ₹10,00,000 a year","Candidate must have experience.
Expected Start Date: 1/7/2020
Job Types: Full-time, Commission, Walk-In
Salary: ₹240,000.00 to ₹1,000,000.00 /year
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Developer: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No"
Android Developer,"Pune, Maharashtra",Innover Systems,None,"Requirements:
3+ years Mobile App development experience Demonstrated ability to balance workload of multiple projects simultaneously Demonstrated ability to oversee quality assurance Task (Story) time estimation Demonstrates ability to take up technical challenges in Mobile App development Ability to work with Team lead, Peers, Project Manager on multiple projects
Responsibilities:
Contributing to the analysis, design, development, implementation, and maintenance of client projects for mobile devices (80%).Develop plan and execute projects along with prototyping and unit testing Work with various other teams (server, design, QA, PM) in executing and delivering projects Coordinate with QA for creation of test plans and defect reports to ensure quality assurance standards are met Performs other reasonable and relevant activities and functions as requested and required
Desired Skills:
Android Core Java and Kotlin knowledge mandatory, Hands on Experience in XML, Google Maps and android APIs, Social Media Integrations, OOPS, Json parsing , Experience on latest design pattern MVP and MVVM, Firebase, SQLite, Room database, Payment gateway integration, Android Jetpack, Dependency injections.
Experience on version controls SVN and GIT.
Required Experience: 3+ Years
Job Type: Full-time
Experience:
Android development: 3 years (Required)
total work: 3 years (Required)
Kotlin: 1 year (Required)
Education:
Bachelor's (Required)
Work Remotely:
Temporarily due to COVID-19"
Android Developer,"Pune, Maharashtra",SiGa Systems,"₹2,40,000 - ₹3,60,000 a year","Android Skills –
1. The candidate should have minimum 1- 3 years of experience in Android JAVA, KOTLIN, XML
2. Strong understanding of object-oriented principles and strong understanding of design patterns.
3. Proficient in Java with good knowledge of Threads and Collections Framework.
4. Strong knowledge of Android SDK, different versions of Android, and how to deal with different screens.
5. Understanding of basic components of an Android application and their lifecycle.
6. Understanding of Android XML user interface layouts.
7. Good knowledge of Android UI design principles, patterns, and best practices.
8. Knowledge of the open-source Android ecosystem and the libraries available for common tasks.
9. Familiarity with RESTful APIs to connect Android applications to back-end services.
10. Understanding of Git.
11. Knowledge of Gradle build system.
12. Knowledge or experience in creating apps using hybrid frameworks like React native would be a plus
Additional Skills for Android:
1. Experience of working with Google Maps, location APIs, Recycler view, etc.
2. Familiarity with cloud message APIs and push notifications.
3. Familiarity with the use of additional sensors, such as gyroscopes and accelerometers.
4. Knack for debugging, benchmarking and optimization.
5. Hands on experience with using at least one payment gateway
Job Types: Full-time, Contract
Salary: ₹240,000.00 to ₹360,000.00 /year
COVID-19 considerations:
Till COVID-19 situation, candidates have to work remotely
Experience:
Android development: 2 years (Preferred)
work: 1 year (Preferred)
total work: 2 years (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)"
Android Developer,"Bhilai, Chhattisgarh",TECHB,None,"Design and build advanced applications for the Android platform
Collaborate with cross-functional teams to define, design, and ship new features
Work with outside data sources and APIs
Unit-test code for robustness, including edge cases, usability, and general reliability
Work on bug fixing and improving application performance
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Requirements
BS/MS degree in Computer Science, Engineering or a related subject
Proven software development experience and Android skills development
Proven working experience in Android app development and
Have published at least one original Android app
Experience with Android
Experience working with remote data
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.
Job Types: Full-time, Contract
Experience:
Android development: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)
Programming Languages needed:
Java (Preferred)
Work Remotely:
Yes"
