,Title,Location,Company,Salary,Description
54,App Developer,Ahmedabad,The Dezine,144000-300000,android developer posse pushing mobile technology limit talented engineer design build generation mobile application specification design build advanced application android platform knowledge java oops concept collaborate cross functional team define design ship feature outside source api unit test code robustness including edge case usability general reliability bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency full time 12 000 00 000 00 total 1 year required ahmedabad gujarat preferred remotely temporarily 
55,App Developer,Ahmedabad,THE ITLION,120000-480000, design build advanced application android platform collaborate cross functional team define design ship feature outside source apis unit test code robustness including edge case usability general reliability bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency type full time walk 10 000 00 000 00 total 1 year required education bachelor required programming language needed cs preferred remotely
57,App Developer,Ahmedabad,Yobored,500000-600000,2 year  translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration full time pay 000 00 000 00 per year android 2 year preferred 2 year preferred total 2 year preferred java 2 year preferred education secondary 10th pas preferred
61,App Developer,Bengaluru,Shaw Academy,1500000,role  cross platform mobile app developer developed mobile apps familiarity ionic flutter develop manage mobile application hybrid android io platform mobile app architecture planning mobile app design optimization able provide solution mobile app quality emerging technology best practice bring mobile app product continuously discover evaluate implement technology framework maximize efficiency estimate timeline deliver per schedule solid knowledge mobile app practice along mobile testing tool technique optimizing app performance using agile principle methodology deep understanding mobile landscape behavior pattern mandatory required using web service http rest soap using json knowledge object oriented design pattern multi threading concept knowledge sqlite database google play service like push notification strong mobile ui design multi screen resolution coding support maintenance knowledge html5 javascript third party api like facebook twitter etc added third party library apis native io android mobile app plus 3 year hand write manageable code maintain proper documentation command structure algorithm familiarity integration strong problem solving analytical knowledge benchmarking optimization security mindedness practice collaborate cross functional team define design deliver feature independently small team responsible capable meeting tight deadline full time 0 00 1 000 00 year hybrid mobile tech 1 year preferred andriod io 1 year preferred
62,App Developer,Bengaluru,Shaw Academy,1500000,role  cross platform mobile app developer developed mobile apps familiarity ionic flutter develop manage mobile application hybrid android io platform mobile app architecture planning mobile app design optimization able provide solution mobile app quality emerging technology best practice bring mobile app product continuously discover evaluate implement technology framework maximize efficiency estimate timeline deliver per schedule solid knowledge mobile app practice along mobile testing tool technique optimizing app performance using agile principle methodology deep understanding mobile landscape behavior pattern mandatory required using web service http rest soap using json knowledge object oriented design pattern multi threading concept knowledge sqlite database google play service like push notification strong mobile ui design multi screen resolution coding support maintenance knowledge html5 javascript third party api like facebook twitter etc added third party library apis native io android mobile app plus 3 year hand write manageable code maintain proper documentation command structure algorithm familiarity integration strong problem solving analytical knowledge benchmarking optimization security mindedness practice collaborate cross functional team define design deliver feature independently small team responsible capable meeting tight deadline full time 1 000 00 per year hybrid mobile tech 1 year preferred andriod io 1 year preferred
63,App Developer,Bengaluru,Xeam ventures India,600000-1500000,android app developer 2 4 year position 6 programming java   hand java android mobile vehicle android application demonstrable analytical problem solving debugging strong interpersonal working full time 000 00 1 000 00 year total 4work 2 year preferred android 1 year preferred 1 year preferred education secondary 10th pas preferred programming language needed java preferred
66,App Developer,Bengaluru,Archik Technologies Pvt. Ltd.,480000-600000,android developer least 2 year android   follows design android application per requirement best design architecture handle scalability concern optimization wrt network call strong hold different framework like mvp mvvm hybrid strong hold code obfuscation etc full time 000 00 000 00 android 2 year preferred total 3 year preferred education bachelor preferred programming language needed java preferred remotely
68,App Developer,Bengaluru,Brickview Studios,400000-600000,  io developer responsible maintenance application aimed range io device including mobile phone tablet computer primary focus io application integration back service therefore commitment collaborative problem solving sophisticated design creation quality product essential  design build application io platform performance quality responsiveness application collaborate define design ship feature identify correct bottleneck fix bug help maintain code quality organization automatization proficient objective c swift io framework core core animation etc offline storage threading performance tuning familiarity restful apis connect io application back service knowledge web technology ui ux understanding apple design principle interface guideline knowledge low c based library preferred performance memory tuning tool familiarity cloud message apis push notification knack benchmarking optimization proficient understanding code versioning tool git mercurial svn familiarity integration type full time internship 000 00 000 00 year 1 year preferred total 1 year preferred io 1 year preferred education bachelor preferred programming language needed objective c preferred remotely yes
69,App Developer,Bengaluru,CodersBrain,900000-960000,designing developing advanced application android platform bug fixing improving application performance total 2 year preferred
70,App Developer,Bengaluru,Creshya Technologies Pvt Ltd,216000-420000, android developer 1 2yrs part 8 member tech working hopon core application guidance android developer  duty requirement feature perform bug fix able translate design implementation participate sprint meeting contribute implementation user story support hopon ops user troubleshooting real time issue using hopon apps required qualification core java collection exception handling oops etc mandatory android app intellij idea android studio rest api integration integration third party product library like google map crashlytics mixpanel familiarity firebase real time database fcm code versioning tool like git full time 18 000 00 000 00 android 1 year required 1 year preferred core java 1 year required education bachelor preferred
76,App Developer,Bengaluru,GRAYRIPPLES,300000-360000,  design build advanced application android platform collaborate cross functional team define design ship feature outside source apis unit test code robustness including edge case usability general reliability bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency expected profile bachelor degree computer science 1 year android app published least one original android app clear understanding mobile life cycle must proven android sdk working remote via rest json working third party library apis added understanding general mobile landscape architecture trend emerging technology required independently prioritize solve problem home option available constraint right apply get back soon type full time temporary 000 00 000 00 android 1 year preferred 1 year preferred total 2 year preferred education secondary 10th pas preferred programming language needed java preferred
77,App Developer,Bengaluru,GRAYRIPPLES,240000-360000,proficient modern mobile server coding design practice example mvvm mvp solid understanding full mobile life cycle design build application android platform collaborate cross functional team define design ship feature outside source apis unit test code robustness including edge case usability general reliability bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency full time 000 00 000 00 per education bachelor preferred programming language needed java preferred remotely temporarily 
78,App Developer,Bengaluru,GRAYRIPPLES,300000-360000,  develop manage mobile application android platform involving kernel driver participate w product lifecycle requirement gathering feasibility study suggesting ui ux flow implement architecture design principle develop secure scalable code structure detailed technical documentation architecture ui design flow technical specification translate design wireframes high quality code best possible performance quality responsiveness application design build test native hybrid mobile application android design build test embedded database system store software meet requirement quality security extensibility etc facilitate application testing monitor performance optimization stay informed upcoming o update api enhancement deprecation plan compatibility testing feature enhancement work collaboratively practice leadership grow develop enhance solution best practice tool method intellectual expected profile bachelor master computer science related subject must least 4 year developing android native application strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration plus published atleast two original android apps home option available constraint right apply get back soon full time 000 00 000 00 android 3 year preferred 4 year preferred total 2 year preferred education bachelor preferred programming language needed java preferred javascript preferred html preferred cs preferred net preferred php preferred python preferred visual basic preferred industry operation helpdesk remotely yes
79,App Developer,Bengaluru,India Info Solutions,360000-600000,strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git working different db familiarity integration type full time 000 00 000 00 android 4 year preferred 5 year preferred developer 6 year preferred education secondary 10th pas preferred programming language needed java preferred remotely
80,App Developer,Bengaluru,ININTRA Systems Pvt Ltd,240000-600000,keen self motivated individual alone deliver high quality product short time frame key  developing android game scratch expectation establish priority throughout life cycle integrate application designing database architecture server scripting multimedia application using authoring tool knowledge least 2 year working android proven tractable software programming depth knowledge android device agile xp scrum lean source code management using git similar technology desire using test driven tdd approach working design driven ddd json xml javascript interfacing android application server side apis prior android tv apps added strong detecting correcting memory usage issue optimising code application performance working graphically rich eye candy application game working fragment loader backward compatible support library v4 preferable working social feature hot tech facebook sdk twitter integration flurry analytics google map augmented reality push notification etc type full time part time 000 00 000 00 android 1 year preferred 1 year preferred total 2 year preferred education secondary 10th pas preferred programming language needed java preferred remotely yes
82,App Developer,Bengaluru,K3 India Foundation,280000-300000,  android developer responsible maintenance application aimed vast number diverse android device primary focus android application integration back service working along side engineer developer working different layer infrastructure therefore commitment collaborative problem solving sophisticated design creating quality product essential  translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization relevant  strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration type full time fresher walk 000 00 000 00 year android 1 year preferred 1 year preferred total 1 year preferred education bachelor required programming language needed java preferred remotely temporarily 
83,App Developer,Bengaluru,Karabi Software Pvt Ltd,120000,1 android app 2 understanding working application ui various type layout 3 knowledge android sdk different version android deal different screen size design build application android platform 4 knowledge oops concept java 5 knowledge structure algorithm type full time fresher pay 10 000 00 per android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred remotely yes
85,App Developer,Bengaluru,Marconix Sales And Marketing Private Limited,84000,marconix approach marketing sale centered around primary business goal mapping customer journey clearly defining business objective design marketing sale strategy centered around target customer internship engineer developer bring fresh area including information retrieval machine learning large scale software design storage security artificial intelligence natural language processing ui design mobile etc selected intern day day  include 1 web technology cloud service phone application 2 design develop test deploy maintain software 3 implement user best practice web mobile 4 develop tdd test driven write functional test 5 develop scalable web mobile application using object oriented programming technique 6 specific project critical marconix need opportunity switch team project fast paced business grow evolve apply student fresher apply available part time internship may part time office part time home home online relevant interest start part time internship 10th jul 14th aug available duration 4 month graduated currently year study bangalore neighboring city female willing start restart may apply requirement sound knowledge frontend mobile ui technology worked solution using html5 css3 react j react native strong understanding advanced javascript like es6 es7 including html5 css3 exposure advanced javascript library like nodejs react j knowledge io android native mobile technology testing framework value strong command object oriented concept object driven knowledge java knowledge mobile application number internship job available 3 category mobile app computer science engineering
89,App Developer,Bengaluru,Proliant Infotech Pvt Ltd,300000-450000,io formerly iphone o 2 year software fluent javascript node ecosystem swift io android couchbase nosql building business intelligence predictive analytics product understanding aws docker kubernetes current platform tool  overall architecture design current future product alongside backend service system critical foundational functionality provide technical guidance coaching developer engineer software secure date latest technology outstanding ability technical non technical subject audience point working gi mapping space mapbox technology couchbase nosql passionate transforming b2c space full time 000 00 000 00 per year total 2 year required
90,App Developer,Bengaluru,Selfieera Pvt Ltd,300000-500000,selfieera android developer 3 year android app full time 000 00 000 00 year android 3 year preferred 3 year required total 3 year required java 3 year required education bachelor required industry software remotely
92,App Developer,Bengaluru,skillease,1200000-1800000,software engineer application responsible powering customer application tool x platform  generation user x platform build powerful complex mission critical web application e commerce website plan feature research estimate prototype design using pocs model apps creating user storyboards use case wireframes working ux designer develop compliant code according design specification unit testing software application debugging fixing defect analyze implement enhancement existing feature system write operational documentation technical author assist preparing test plan develop test harness used quality assurance participate department scrum session software release activity review project manager system analyst technical manager client business stakeholder 2 8 year near majestic bangalore benefit hand web technology using react j javascript bootstrap html5 css3 responsive web design least 5 year system enterprise least 5 year general programming c managed c proficiency net technology including net framework v3 5 net core 2 1 backend technology sql cosmos couch db etl tool external system integration azure key vault expert use visual studio related technology application rest api design best practice implementation visualization cloud microsoft enterprise library 6 0 similar including uip user interface process exception management caching access configuration management block using azure devops visual studio service particular vsts source control unit testing use source code control system including branching merging reconciling code tool vsts git solid foundation ooa ood oop n tiered architecture bachelor degree equivalent master preferred may python django docker kubernetes test driven design spa single page application ui react sas bootstrap entity framework core 2 1 git source control oauth open id connect full time 1 000 00 1 000 00 year total 2 year preferred react j 2 year preferred education bachelor preferred
93,App Developer,Bengaluru,Software Company,300000-420000,mobile app developer tight knit develop manage independent mobile application customer help mobile application proprietary web based application app developer  product design architect ship application implement polished user interface help software mobile application designing building maintaining using scripting authoring language content creation tool application medium directing performing mobile application update developing validating test routine schedule test case mimic external interface address browser device type evaluating code meet quality valid properly structured compatible browser device operating system solve difficult problem related large set responsive ui debugging problematic code source code duty required required bachelor degree computer engineering computer science related field relevant flutter io sdk android sdk strong oop building apps use network connection api call hand parsing xml json proficient javascript html cs proficient mysql nosql thrive fast paced written verbal knowledge php laravel framework able develop independent judgment solve problem reference id dev full time 000 00 000 00 per app developer 1 year required total 2 year preferred education bachelor preferred remotely temporarily 
95,App Developer,Bengaluru,Tailwebs Technology Pvt. Ltd.,250000-700000, design develop modify implement mobile application using android implement creative usable user interface collaborate cross functional team define design ship feature bug fixing improving application performance continuously discover evaluate implement technology maximize efficiency required technical object oriented programming strong core java android sdk implementation knowledge web service web apis json kotlin strong debugging troubleshooting understanding android framework like activity resource notification required proven mandatory full time 000 00 000 00 year android 1 year required education bachelor required industry software remotely temporarily 
96,App Developer,Bengaluru,Tailwebs Technology Pvt. Ltd.,250000-700000,design develop modify implement mobile application using android collaborate cross functional team define design ship feature
98,App Developer,Bengaluru,Unnati,1000000-1500000,  high performing collaborative result oriented technologically savvy person keen sale industry visible health tech initiative india largest business house started empowers healthcare provider consumer india healthcare monitoring service made available app help connect doctor hospital pharmacy laboratory consumer enabling preventive predictive healthcare help care giver track entire patient journey initial appointment maintaining record generating lab test report providing virtual consultation home care solution expected futuristic guide strengthen doctor patient relationship enhance clinic android developer required mobile product app android platform designing mobile application product offering communicating effectively cross functional product present design effectively identifying correcting bottleneck fixing bug helping maintain code quality organization automatization required profile essential attribute worked android app proficient understanding android concept proficient understanding android tool like android studio worked android library like google play service volley gson okhttp etc proficient understanding code versioning tool git svn problem solving desired attribute interpersonal build working relationship must self motivated prioritize manage workload meet critical project milestone deadline able effectively collaborate take initiative independently solve problem min b e b tech tech keyskills android developer android app volley mobile developer okhttp mobile application gson svn google play service product git test reporting android studio desired profile refer   education ug b tech b e specialization pg tech specialization profile unnati health tech initiative india largest business house started empowers healthcare provider consumer india healthcare monitoring service made available app help connect doctor hospital pharmacy laboratory consumer enabling preventive predictive healthcare help care giver track entire patient journey initial appointment maintaining record generating lab test report providing virtual consultation home care solution expected futuristic guide strengthen doctor patient relationship enhance clinic recruiter name unti job unnati reference id jb website http myunnati
101,App Developer,Bengaluru,Websoftex Software Solution Pvt Ltd,240000-360000,functional area engineering industry software software service keywords android software android studio java kotlin full stack developer internship  opening android developer 1 3 year bangalore ob mathikere bangalore 20k k 1 android developer posse pushing 2 mobile technology limit talented engineer design build generation mobile application  collaborate cross functional team define design ship feature outside source apis desired profile profile   requirement mca msc degree computer science engineering related subject proven software proven working android published least one original android app 1 current ctc 2 expected ctc 3 notice period mail id job websoftex gmail 1 3 year preferred graduate qualification b sc specialization bca bcm specialization b tech specialization graduation pg qualification e tech specialization sc specialization mca specialization either ug pg qualification
104,App Developer,Bhavnagar,Photo picker,240000-480000,whatsapp detail mo anil baraiya type full time part time commission 000 00 000 00 android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred remotely yes
105,App Developer,Bhavnagar,Photo picker,240000-480000,whatsapp detail type full time part time commission 000 00 000 00
108,App Developer,Bhopal,"Noble-D, LLC",264000-432000,noble llc cloud focused analytics product design firm based united state among several different product building product pettech product primarily mobile app right designed using cutting edge aws cloud enabled server le technology backend io front mvp launched 8 week independent mobile app engineer member app engineer primary required include strong io design expert knowledge modern app design pattern strong working rest apis project get thing help enjoy freedom creatively independent love hear back type part time pay 000 00 000 00 per 3 year preferred total 3 year preferred education bachelor preferred industry software remotely yes
110,App Developer,Bhubaneshwar,Cs Web Solution,180000-300000,android developer one 2 year knowledge programming type full time 15 000 00 000 00 android 1 year required 2 year preferred total 2 year required education higher secondary 12th pas preferred programming language needed java preferred remotely yes
111,App Developer,Bhubaneshwar,Drsignet Healthcare Pvt Ltd,120000-600000,android developer responsible maintenance application aimed vast number diverse android device primary focus android application integration back service working along side engineer developer working different layer infrastructure therefore commitment collaborative problem solving sophisticated design creating quality product essential  translate design wireframes high quality code design build maintain high performance reusable reliable java code best possible performance quality responsiveness application identify correct bottleneck fix bug help maintain code quality organization automatization solving issue sensor native working strong knowledge android sdk different version android deal different screen size familiarity restful apis connect android application back service strong knowledge android ui design principle pattern best practice offline storage threading performance tuning design application around natural user interface touch familiarity use additional sensor gyroscope accelerometer knowledge open source android ecosystem library available common task business requirement translate technical requirement familiarity cloud message apis push notification knack benchmarking optimization understanding google android design principle interface guideline proficient understanding code versioning tool git familiarity integration self starter approach solve problem coordinate back team type full time 10 000 00 000 00 android 2 year preferred android application 3 year preferred education bachelor required programming language needed java required
113,App Developer,Calicut,Infinite Open Source Solutions LLP,120000-360000,qualification technical degree b tech b sc mca bca etc diploma 1 year required android sdk android studio sqlite webservice java compulsory php infinite open source solution llp sahya building 2nd floor govt cyber park calicut kerala assistance website io full time 10 000 00 000 00 per android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred remotely temporarily 
117,App Developer,Chandigarh,GS Web Technologies,240000-420000, guy io developer dedicated craft always talented people proud without awesome dedicated people want part creative people resume hr gswebtech responsible self motivated take care delivery design build application io platform performance quality responsiveness application strong understanding design pattern constraint develop match view design leading io screen collaborate define design ship feature identify correct bottleneck fix bug develop application time sensitive project considering business system requirement required qualification proficiency objective c swift depending project requirement cocoa touch core core animation spritekit rest soap json based architecture knowledge git svn cocoapods apn carthage alamofire hand coding swift 3 swift4 objective c apn rest knowledge firebase aws preferred ample knowledge coding pattern bar deserving candidate 2 year g web technology sco 1 1st floor 2nd floor ranjan plaza zirakpur interested candidate updated hr gswebtech number fix appointment full time 000 00 000 00 objective c 1 year preferred 1 year preferred total 2 year preferred io 2 year preferred education bachelor preferred speak employer
118,App Developer,Chandigarh,Uniyalas IT Solutions,120000-360000,android developer home existing project person gagan uniyal type part time temporary pay 10 000 00 000 00 per android 1 year preferred 1 year preferred total 1 year preferred education secondary 10th pas preferred programming language needed java preferred
119,App Developer,Chennai,Astroved,275000-375000,1year hybrid mobile application using ionic framework 3 4 developing native android iosplugins added onlayout creation api integration onconsumingweb service rest soap wcf restful json web technology like html5 cs css3 javascript angular key ionic framework 3 4 angular 6 html cs javascript required profile consuming web service rest soap wcf restful json web technology like html5 cs css3 javascript angular inr 2 000 3 000 pa industry internet ecommerce functional area software application programming maintenance category programming design software developer keyskills cssjavascriptionic framework 3 4htmlangular6 desired profile refer   education ug b tech b e specialization computer graduate pg post graduation required profile astroved pvt ltd astroved fast growing consumer internet focused bringing vedic astrological content service consumer worldwide incorporate ancient wisdom modern application customer life offering include wide range predictive service area health wealth finance relationship life matter full array traditional remedial service aim transform member life developing top tier scientifically validated astrology vedic based service application address problem one struggle key establishing research initiative building b2b partnership alliance synergistic institution founded visionary founder dr baskaran pillai astroved strong domain astrology arena talented technical staff management presence u india loyal customer u europe asia india astroved attained market presence astroved active list 000 customer worldwide access 3m engaged consumer dr pillai presence youtube medium unlike many internet based astrology company astroved profitable generating cash poised phase view detail recruiter name mr chitra astroved pvt ltd telephone
