Job Title,Job Description,Company Name,Location
Android Developer,"Building and designing android applications
working in coordination with the design and the testing team to develop better products with fewer bugs
To work with different API's and data sources
Fix bugs
Continuous evaluation, discovering new technologies and exploiting them
Skills Required:Espresso, Android Studio, Kotlin, BDD, Jenkins, CI Pipeline
Collaborate with cross-functional teams to analyze, design, and ship new features
Fully responsible for mobile app development in the team
Build and publish applications in app stores
Implement new technologies to maximize application performance

Job Segment:
Developer, Information Technology, Programmer, Technology","LTI
3.5",Mumbai
Android Developer,"Job Descriptions:
Translate designs and wireframes into high-quality code
Design, build and maintain high performance, reusable, and reliable Java code • Identify and correct bottlenecks and fix bugs
Work with a solid Agile development team to deliver Value to the Users with high quality, consistently and predictably
Unit-test code for robustness, including edge cases, usability, and general reliability
Strong knowledge of Android SDK, different versions of Android, and how to deal with different screen sizes
Familiarity with RESTful APIs to connect Android applications to back-end services
Strong knowledge of Android UI design principles, patterns (MVC, MVP, etc) and best practices
Experience with offline storage, threading, and performance tuning
Familiarity with cloud message APIs and push notifications
Solid understanding of the full mobile development life cycle i.e. Agile Model. • Understanding of Googles Android design principles and interface guidelines
Should be willing to work in startup.

Desired Skills:
At least 1+Years experience on Android Development.
Extensive experience in developing mobile apps using Android SDK with proficiency in Core Java and design patterns.
Conversant with JSON, XML, Web services API.
Experience with SaaS platforms for mobile development like Analytics, Push Notifications, Cloud Storage, Ad Networks, etc.

Send your resume at- hr@squareknot.in","Squareknot
5.0",Gurgaon
Android Developer,"Must Have
Strong technical expertise on the Android device platform.
Exposure to custom UI development, Framework APIs for GPS, camera, accelerometer, gestures, third party libraries etc.
Ability to deliver within planned time and with independent testers.
Ability to deliver defect free code.
Should be able to understand written and verbal instuctions.
Good Communication skill.
Should be aware of latest industry standards.
Desirable
Expertise on additional platforms (Symbian / iPhone/ Blackberry / J2-ME / HTML5), Gaming and OpenGL will be an advantage.
Exposure to quality processes and documentation.","DOT Technologies
4.7",Panchkula
Android Developer,"Skills:Programming Skills:
Java with Object Oriented Fundamentals
Xml
JSON/XML parsing
Prefered Tool: Android Studio 2.3.3.
Knowledge of alternative tools will be appreciated (Android Studio 2.3+)

Back-end Skills:
Rest APIs with Php in Codeigniter Framework.
Prefered Tool: Visual Studio Code, Rest API tools like Postman.
Visual Studio Code, Rest API tools like Postman Knowledge of alternative tools will be appreciated (Advance Rest Clients etc.)

Database:
SQlite
Realm
MySQL
Firebase
Prefered Tool: DBeaver.
Knowledge of alternative tools will be appreciated (Navicat, and MySQL Workbench)

CANDIDATE SHOULD HAVE EXPERIENCE / KNOWLEDGE OF
Android material design principles and human interface guidelines.
Various Third Party APIs.
(eg. UID APIs, Google APIs, Cloud Messaging, Maps, Drive, Location)
Github Repositories (Third Party Libraries).
Latest Android SDK / Outside Data Sources.
Firebase Services / Push Notification.
Payment Gateway Integration.
Fingerprint authentication / Biometric Integration.
Apps for Android Wear.
App release, update management & version control of published apps.
Amazon Web Services / Linux Server Expertise.
Gitlab.
Slack.","Milearth Softech
5.0",Mumbai
Android Developer,"Job Responsibilities:
Expert in Java Programming and Android development.
Knowledge of Mobile APP tools like Android Studio.
Deep understanding of Push notification, SQLite,
Experience with App deployment on Google Play Store.

Creative technical problem solver.
Basic Knowledge of External Integration.
Strong in API integration
Expert in Android UI/UX screen designing
00-5.00 Years
Master in Computer Application (M.C.A), Bachelor Of Computer Application (B.C.A)","Tangle Solutions Private Limited
5.0",Noida
Android Developer,"Responsibilities and Duties:
Writing unit tests and testable code

Designing clean and maintainable APIs

Understanding of full mobile development life cycle

Knowledge in Android app development, Android SDK and APIs

Required Experience: Minimum 6 Months

Required Skills:
Building native Android applications

Develop and maintain our android application

Integrate with our backend services and developed a flexible and optimized front end

Help improve code quality through writing unit tests, automation and performing code review

Keyskills:
Java, Android SDK, XML,MySQL,Web services, Web technologies, Prototype, SQLite, JSON parsing and XML parsing, Socket programming.

Secondary Skills:
Database- Oracle, SQLite, MySQL

Salary: as per industry
Send Your Updated Resume at info@webrication.com","Webrication
5.0",Noida
Android Developer,"Design and build advanced applications for the Android platform using JAVA and Kotlin.
Collaborate with cross-functional teams to define, design, and develop Android Applications for the clients.
APIs integration and data handling.
Unit-test code for robustness, including edge cases, usability, and general reliability.
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Skills Required
Proven Android Application Development Experience for at least a Year.
Experience with offline storage, threading, and performance tuning.
Have published at least 5 original Android app on the Google Play Store.
Experience with Android SDK and Android Libraries.
Experience working with remote data via REST and JSON.
Experience with third-party libraries and APIs.
To apply for this position, please send email to genius@blackturtle.io with position name in the subject line. We will look forward to your application","BlackTurtle Diginovation
4.8",Bengaluru
Android Developer,"Skills Required:
Hands on experience in Java/Core Java.
Knowledge of other programming languages will be add-on.
Knowledge of Android ecosystem and the libraries available for common tasks.
Experience in REST-APIs.
Have a reasonable grasp on front-end UX as well on back-end and be excited to try out unique interfaces when required.

Key job responsibilities:
Design and build applications for Android platform.
Ensure the performance, quality, and responsiveness of applications.
Collaborate with a team to define, design, and ship new features.
Ability to identify and correct bottlenecks and fix bugs.","Grmtech
4.1",Kolkata
Android Developer,"Gurgaon, India

Job Requirement
Translate designs and wireframes into high quality code.
Working on Android SDK, RESTful APIs, and deal with different screen sizes
Work on Google’s Android design principles and interface guidelines.
Build and deploy modern client-side web technologies such as ReactJS, Redux, Reactive extensions, browser compatibility & graceful degradation. Building and working knowledge on React Native.
Qualification and Skillset
3-7 years’ experience in Android & React Technologies for product development.
A B.E./B.Tech. in Computer Science/ IT or MCA would be preferred.
Excellent oral and written communication skills
Applications
We are loooking for talented and enthusiastic MINDS. The ones interested to join our organisation can get in touch with us by sending an up to date resume.","Truminds
3.7",Gurgaon
Android Developer,"We are looking for an Android Developer who possesses a passion for pushing mobile technologies to the limits.

Requirements
Proven software development experience and Android skills development
Experience with Android SDK
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Solid understanding of the full mobile development life cycle.

Responsibilities
Design and build advanced applications for the Android platform
Continuously discover, evaluate, and implement new technologies to maximize development efficiency
Qualified candidates, send resume through mail at hr@rtizen.com","AAR Technologies and Software Solution
4.0",Kolkata
Android Developer,"About the Internship:
1) Designing, implementing & testing mobile applications using Android Java
2) Integrating REST APIs & JSON to develop a robust and scale app
3) Developing robust & extendile codes using latest mobile design patterns
4) Ensuring code quality by writing clean & well-designed code & by developing unit tests","ClickOnCare
4.1",Bengaluru
Android Developer,"We are looking for an Android Developer who possesses a passion to design and build the next generation of mobile applications with our team of talented developers.

Job Profile:
Analyse and understand the positioning of the product, service or process.
Translate functional needs into specifications.
Experience of accessing data as JSON/XML using REST API.
Good understanding of development environment, testing and App/play store publishing.
Solid exposure to object oriented design patterns and multi-threading.
Strong on basic Java.
Cross-platform Hybrid app development experience using native as well as web features (HTML5, CSS3, JS, JQuery).
Ability to create Android library.
Ability to create custom APK generator.
Highly self motivated and directed.

Job Type:
Full-time","Xeemu Studios
4.9",SAS Nagar
Android Developer,"Android engineers build the tools and libraries that are incorporated into our mobile products, and they're passionate about great abstractions and high levels of code quality. On top of that, Android engineers create and ship new features as critical members of the product development team. As an Android engineer, you'll ship new products and make our frameworks reliable, reusable, and fast.

RESPONSIBILITIES

- Work with a small team of mobile engineers to build our Android platform
- Build a scalable mobile architecture, and take responsibility for the code you own and improve our codebase with your presence.
- Build new features for our robust mobile framework

REQUIREMENTS

- 1+ years of experience in Android application development
- Industry experience in mobile development and production applications
- Passion for mobile products and personal projects or other work on the Play Store are a plus
- Impeccable attention to detail in all aspects of development from performance to UI
- Knowledge of Python and JavaScript a plus
- Knowledge about mobile devices to decide implementation tradeoffs correctly","Shipsy
3.8",Gurgaon
